Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
CMB001.A	CMB001.A0101	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB001.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB001.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
CMB001.A	CMB001.A0101	5	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB001.A0101.SG1.2_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB001.A0101.SG1.2_S0_L001_R2_001.fastq.gz	NA
CMB002.A	CMB002.A0101	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB002.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB002.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
CMB002.A	CMB002.A0101	5	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB002.A0101.SG1.2_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB002.A0101.SG1.2_S0_L001_R2_001.fastq.gz	NA
CMB003.A	CMB003.A0101	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB003.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB003.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
CMB003.A	CMB003.A0101	5	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB003.A0101.SG1.2_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB003.A0101.SG1.2_S0_L001_R2_001.fastq.gz	NA
CMB004.A	CMB004.A0101	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB004.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB004.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
CMB004.A	CMB004.A0101	5	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB004.A0101.SG1.2_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB004.A0101.SG1.2_S0_L001_R2_001.fastq.gz	NA
CMB005.A	CMB005.A0101	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB005.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB005.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
CMB005.A	CMB005.A0101	5	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB005.A0101.SG1.2_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB005.A0101.SG1.2_S0_L001_R2_001.fastq.gz	NA
CMB006.A	CMB006.A0101	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB006.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB006.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
CMB006.A	CMB006.A0101	5	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB006.A0101.SG1.2_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB006.A0101.SG1.2_S0_L001_R2_001.fastq.gz	NA
CMB007.A	CMB007.A0101	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB007.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB007.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
CMB007.A	CMB007.A0101	5	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB007.A0101.SG1.2_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB007.A0101.SG1.2_S0_L001_R2_001.fastq.gz	NA
CMB008.A	CMB008.A0101	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB008.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB008.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
CMB008.A	CMB008.A0101	5	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB008.A0101.SG1.2_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB008.A0101.SG1.2_S0_L001_R2_001.fastq.gz	NA
EXB034.A	EXB034.A2701	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB034.A2701.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB034.A2701.SG1.1_S0_L001_R2_001.fastq.gz	NA
EXB059.A	EXB059.A2101	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB059.A2101.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB059.A2101.SG1.1_S0_L001_R2_001.fastq.gz	NA
EXB059.A	EXB059.A2201	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB059.A2201.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB059.A2201.SG1.1_S0_L001_R2_001.fastq.gz	NA
EXB059.A	EXB059.A2301	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB059.A2301.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB059.A2301.SG1.1_S0_L001_R2_001.fastq.gz	NA
EXB059.A	EXB059.A2401	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB059.A2401.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB059.A2401.SG1.1_S0_L001_R2_001.fastq.gz	NA
EXB059.A	EXB059.A2501	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB059.A2501.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/EXB059.A2501.SG1.1_S0_L001_R2_001.fastq.gz	NA
LIB058.A	LIB058.A0102	1	2	PE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/LIB058.A0102.SG1.1_S0_L001_R1_001.fastq.gz	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/LIB058.A0102.SG1.1_S0_L001_R2_001.fastq.gz	NA
