Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
KT01calc	KT01calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877304.fastq.gz	NA	NA
KT01calc	KT01calc	2	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877305.fastq.gz	NA	NA
KT02calc	KT02calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877392.fastq.gz	NA	NA
KT03calc	KT03calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877308.fastq.gz	NA	NA
KT04calc	KT04calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877303.fastq.gz	NA	NA
KT05calc	KT05calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877372.fastq.gz	NA	NA
KT06calc	KT06calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877376.fastq.gz	NA	NA
KT07calc	KT07calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877374.fastq.gz	NA	NA
KT08calc	KT08calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877378.fastq.gz	NA	NA
KT09calc	KT09calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877390.fastq.gz	NA	NA
KT10calc	KT10calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877386.fastq.gz	NA	NA
KT11calc	KT11calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877382.fastq.gz	NA	NA
KT12calc	KT12calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877354.fastq.gz	NA	NA
KT13calc	KT13calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877356.fastq.gz	NA	NA
KT14calc	KT14calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877352.fastq.gz	NA	NA
KT15calc	KT15calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877367.fastq.gz	NA	NA
KT16calc	KT16calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877365.fastq.gz	NA	NA
KT17calc	KT17calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877363.fastq.gz	NA	NA
KT18calc	KT18calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877361.fastq.gz	NA	NA
KT19calc	KT19calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877369.fastq.gz	NA	NA
KT20calc	KT20calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877338.fastq.gz	NA	NA
KT21calc	KT21calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877336.fastq.gz	NA	NA
KT22calc	KT22calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877334.fastq.gz	NA	NA
KT23calc	KT23calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877332.fastq.gz	NA	NA
KT24calc	KT24calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877330.fastq.gz	NA	NA
KT25calc	KT25calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877344.fastq.gz	NA	NA
KT26calc	KT26calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877348.fastq.gz	NA	NA
KT27calc	KT27calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877395.fastq.gz	NA	NA
KT28calc	KT28calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877397.fastq.gz	NA	NA
KT29calc	KT29calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877401.fastq.gz	NA	NA
KT30calc	KT30calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877294.fastq.gz	NA	NA
KT31calc	KT31calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877328.fastq.gz	NA	NA
KT32calc	KT32calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877296.fastq.gz	NA	NA
KT33calc	KT33calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877316.fastq.gz	NA	NA
KT34calc	KT34calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877318.fastq.gz	NA	NA
KT35calc	KT35calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877320.fastq.gz	NA	NA
KT36calc	KT36calc	1	2	SE	NA	double	none	/projects1/microbiome_calculus/smokers_calculus/01-data/Kilteasheen/SRR6877322.fastq.gz	NA	NA

