Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
CS01	CS01	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS01_unmapped.clip.fastq.gz	NA	NA
CS02	CS02	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS02_unmapped.clip.fastq.gz	NA	NA
CS03	CS03	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS03_unmapped.clip.fastq.gz	NA	NA
CS04	CS04	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS04_unmapped.clip.fastq.gz	NA	NA
CS07	CS07	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS07_unmapped.clip.fastq.gz	NA	NA
CS08	CS08	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS08_unmapped.clip.fastq.gz	NA	NA
CS09	CS09	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS09_unmapped.clip.fastq.gz	NA	NA
CS10	CS10	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS10_unmapped.clip.fastq.gz	NA	NA
CS11	CS11	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS11_unmapped.clip.fastq.gz	NA	NA
CS12	CS12	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS12_unmapped.clip.fastq.gz	NA	NA
CS13	CS13	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS13_unmapped.clip.fastq.gz	NA	NA
CS14	CS14	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS14_unmapped.clip.fastq.gz	NA	NA
CS15	CS15	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS15_unmapped.clip.fastq.gz	NA	NA
CS16	CS16	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS16_unmapped.clip.fastq.gz	NA	NA
CS17	CS17	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS17_unmapped.clip.fastq.gz	NA	NA
CS18	CS18	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS18_unmapped.clip.fastq.gz	NA	NA
CS19	CS19	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS19_unmapped.clip.fastq.gz	NA	NA
CS20	CS20	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS20_unmapped.clip.fastq.gz	NA	NA
CS21	CS21	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS21_unmapped.clip.fastq.gz	NA	NA
CS22	CS22	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS22_unmapped.clip.fastq.gz	NA	NA
CS23	CS23	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS23_unmapped.clip.fastq.gz	NA	NA
CS24	CS24	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS24_unmapped.clip.fastq.gz	NA	NA
CS26	CS26	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS26_unmapped.clip.fastq.gz	NA	NA
CS27	CS27	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS27_unmapped.clip.fastq.gz	NA	NA
CS28	CS28	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS28_unmapped.clip.fastq.gz	NA	NA
CS29	CS29	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS29_unmapped.clip.fastq.gz	NA	NA
CS30	CS30	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS30_unmapped.clip.fastq.gz	NA	NA
CS31	CS31	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS31_unmapped.clip.fastq.gz	NA	NA
CS32	CS32	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS32_unmapped.clip.fastq.gz	NA	NA
CS33	CS33	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS33_unmapped.clip.fastq.gz	NA	NA
CS34	CS34	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS34_unmapped.clip.fastq.gz	NA	NA
CS35	CS35	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS35_unmapped.clip.fastq.gz	NA	NA
CS36	CS36	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS36_unmapped.clip.fastq.gz	NA	NA
CS37	CS37	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS37_unmapped.clip.fastq.gz	NA	NA
CS38	CS38	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS38_unmapped.clip.fastq.gz	NA	NA
CS39	CS39	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS39_unmapped.clip.fastq.gz	NA	NA
CS40	CS40	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS40_unmapped.clip.fastq.gz	NA	NA
CS42	CS42	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS42_unmapped.clip.fastq.gz	NA	NA
CS43	CS43	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS43_unmapped.clip.fastq.gz	NA	NA
CS44	CS44	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS44_unmapped.clip.fastq.gz	NA	NA
CS45	CS45	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS45_unmapped.clip.fastq.gz	NA	NA
CS46	CS46	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS46_unmapped.clip.fastq.gz	NA	NA
CS47	CS47	1	4	SE	NA	double	none	/projects1/microbiome_sciences/raw_data/external.backup/PaleoBARN/pfu_turbo_libraries/adapter_removed//MPI-SHH/internal_index_removed/CS47_unmapped.clip.fastq.gz	NA	NA
