Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
CMB001.A	CMB001.A0101	1	2	SE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB001.A0101.SG1.1_S0_L001_R1_001.fastq.gz	NA	NA
CMB001.A	CMB001.A0101	5	2	SE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB001.A0101.SG1.2_S0_L001_R1_001.fastq.gz	NA	NA
CMB002.A	CMB002.A0101	1	2	SE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB002.A0101.SG1.1_S0_L001_R1_001.fastq.gz	NA	NA
CMB002.A	CMB002.A0101	5	2	SE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB002.A0101.SG1.2_S0_L001_R1_001.fastq.gz	NA	NA
CMB003.A	CMB003.A0101	1	2	SE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB003.A0101.SG1.1_S0_L001_R1_001.fastq.gz	NA	NA
CMB003.A	CMB003.A0101	5	2	SE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB003.A0101.SG1.2_S0_L001_R1_001.fastq.gz	NA	NA
CMB004.A	CMB004.A0101	1	2	SE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB004.A0101.SG1.1_S0_L001_R1_001.fastq.gz	NA	NA
CMB004.A	CMB004.A0101	5	2	SE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB004.A0101.SG1.2_S0_L001_R1_001.fastq.gz	NA	NA
CMB005.A	CMB005.A0101	1	2	SE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB005.A0101.SG1.1_S0_L001_R1_001.fastq.gz	NA	NA
CMB005.A	CMB005.A0101	5	2	SE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB005.A0101.SG1.2_S0_L001_R1_001.fastq.gz	NA	NA
CMB006.A	CMB006.A0101	1	2	SE	NA	double	half	/projects1/microbiome_calculus/smokers_calculus/01-data/raw_data/CMB006.A0101.SG1.1_S0_L001_R1_001.fastq.gz	NA	NA
