Species	Clade_Consensus
Streptococcus acidominimus	Unknown
Streptococcus agalactiae	Pyogenic
Streptococcus anginosus	Anginosus
Streptococcus australis	Mitis
Streptococcus caballi	Unknown
Streptococcus canis	Pyogenic
Streptococcus constellatus	Anginosus
Streptococcus criceti	downei
Streptococcus cristatus	Sanguinis
Streptococcus devriesei	Unknown
Streptococcus dysgalactiae	Pyogenic
Streptococcus entericus	Unknown
Streptococcus equi	Pyogenic
Streptococcus equinus	Bovis
Streptococcus ferus	Unknown
Streptococcus gallolyticus	Bovis
Streptococcus gordonii	Sanguinis
Streptococcus halotolerans	Unknown
Streptococcus himalayensis	Unknown
Streptococcus infantarius	Bovis
Streptococcus infantis	Mitis
Streptococcus iniae	Pyogenic
Streptococcus intermedius	Anginosus
Streptococcus lutetiensis	Unknown
Streptococcus macedonicus	Bovis
Streptococcus marmota	Unknown
Streptococcus marmotae	Unknown
Streptococcus massiliensis	Unknown
Streptococcus merionis	Unknown
Streptococcus mitis	Mitis
Streptococcus mutans	Mutans
Streptococcus oralis	Mitis
Streptococcus orisratti	Unknown
Streptococcus ovis	Unknown
Streptococcus pantholopis	Unknown
Streptococcus parasanguinis	Mitis
Streptococcus parauberis	Pyogenic
Streptococcus pasteurianus	Bovis
Streptococcus peroris	Mitis
Streptococcus pluranimalium	Unknown
Streptococcus pneumoniae	Mitis
Streptococcus pseudopneumoniae	Mitis
Streptococcus pyogenes	Pyogenic
Streptococcus salivarius	Salivarius
Streptococcus sanguinis	Sanguinis
Streptococcus sobrinus	Unknown
Streptococcus sp. 1171_SSPC	Unknown
Streptococcus sp. 2_1_36FAA	Unknown
Streptococcus sp. 263_SSPC	Unknown
Streptococcus sp. 400_SSPC	Unknown
Streptococcus sp. A12	Unknown
Streptococcus sp. C300	Unknown
Streptococcus sp. ChDC B345	Unknown
Streptococcus sp. ChDC B353	Unknown
Streptococcus sp. DD04	Unknown
Streptococcus sp. DD10	Unknown
Streptococcus sp. DD12	Unknown
Streptococcus sp. DD13	Unknown
Streptococcus sp. F0441	Unknown
Streptococcus sp. HMSC034B05	Unknown
Streptococcus sp. HMSC034E03	Unknown
Streptococcus sp. HMSC056C01	Unknown
Streptococcus sp. HMSC061D01	Unknown
Streptococcus sp. HMSC061D10	Unknown
Streptococcus sp. HMSC062B01	Unknown
Streptococcus sp. HMSC062D07	Unknown
Streptococcus sp. HMSC062H02	Unknown
Streptococcus sp. HMSC063B03	Unknown
Streptococcus sp. HMSC066E07	Unknown
Streptococcus sp. HMSC066F01	Unknown
Streptococcus sp. HMSC067A03	Unknown
Streptococcus sp. HMSC067H01	Unknown
Streptococcus sp. HMSC070B10	Unknown
Streptococcus sp. HMSC071D03	Unknown
Streptococcus sp. HMSC071H03	Unknown
Streptococcus sp. HMSC072D03	Unknown
Streptococcus sp. HMSC072D05	Unknown
Streptococcus sp. HMSC072D07	Unknown
Streptococcus sp. HMSC072G04	Unknown
Streptococcus sp. HMSC073A12	Unknown
Streptococcus sp. HMSC074B11	Unknown
Streptococcus sp. HMSC076C08	Unknown
Streptococcus sp. HMSC077D04	Unknown
Streptococcus sp. HMSC077F03	Unknown
Streptococcus sp. HMSC10A01	Unknown
Streptococcus sp. HMSC34B10	Unknown
Streptococcus sp. HPH0090	Unknown
Streptococcus sp. I-G2	Unknown
Streptococcus sp. I-P16	Unknown
Streptococcus sp. M143	Unknown
Streptococcus sp. M334	Unknown
Streptococcus sp. NLAE-zl-C503	Unknown
Streptococcus sp. NPS 308	Unknown
Streptococcus sp. oral taxon 058	Unknown
Streptococcus sp. oral taxon 064	Unknown
Streptococcus sp. oral taxon 071	Unknown
Streptococcus sp. oral taxon 431	Unknown
Streptococcus sp. VT 162	Unknown
Streptococcus suis	unknown
Streptococcus thermophilus	Salivarius
Streptococcus troglodytae	Unknown
Streptococcus uberis	Pyogenic
Streptococcus vestibularis	Salivarius
