#Datasets	KT01calc.unmapped	KT02calc.unmapped	KT03calc.unmapped	KT04calc.unmapped	KT05calc.unmapped	KT06calc.unmapped	KT07calc.unmapped	KT08calc.unmapped	KT09calc.unmapped	KT10calc.unmapped	KT11calc.unmapped	KT12calc.unmapped	KT13calc.unmapped	KT14calc.unmapped	KT15calc.unmapped	KT16calc.unmapped	KT17calc.unmapped	KT18calc.unmapped	KT19calc.unmapped	KT20calc.unmapped	KT21calc.unmapped	KT22calc.unmapped	KT23calc.unmapped	KT24calc.unmapped	KT25calc.unmapped	KT26calc.unmapped	KT27calc.unmapped	KT28calc.unmapped	KT29calc.unmapped	KT30calc.unmapped	KT31calc.unmapped	KT32calc.unmapped	KT33calc.unmapped	KT34calc.unmapped	KT35calc.unmapped	KT36calc.unmapped
"Candidatus Saccharibacteria oral taxon TM7x"	36628.0	3406.0	19265.0	6853.0	8942.0	1778.0	20259.0	1244.0	1816.0	8598.0	10313.0	16620.0	6325.0	28356.0	9511.0	10584.0	9765.0	9255.0	6615.0	22443.0	4892.0	9151.0	13484.0	10687.0	12107.0	16276.0	5828.0	9185.0	25554.0	10649.0	15735.0	14245.0	39140.0	10087.0	9233.0	10119.0
"Candidatus Gracilibacteria bacterium HOT-871"	1120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Endomicrobium proavitum"	0.0	189.0	0.0	0.0	0.0	0.0	0.0	0.0	197.0	0.0	0.0	0.0	0.0	0.0	462.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides heparinolyticus"	2095.0	0.0	0.0	463.0	0.0	227.0	733.0	1701.0	287.0	431.0	0.0	637.0	337.0	396.0	909.0	0.0	0.0	702.0	2407.0	1783.0	0.0	359.0	381.0	527.0	785.0	1394.0	274.0	459.0	1009.0	846.0	2417.0	329.0	11284.0	0.0	1568.0	2082.0
"Bacteroides pyogenes"	1122.0	0.0	0.0	272.0	0.0	1364.0	362.0	0.0	1836.0	499.0	0.0	274.0	1132.0	0.0	1154.0	803.0	690.0	832.0	0.0	1425.0	0.0	0.0	0.0	1376.0	2837.0	894.0	1651.0	1031.0	521.0	665.0	743.0	0.0	636.0	0.0	910.0	512.0
"Bacteroides zoogleoformans"	0.0	0.0	0.0	0.0	0.0	0.0	270.0	0.0	0.0	0.0	0.0	0.0	306.0	0.0	1104.0	0.0	0.0	622.0	0.0	1688.0	0.0	0.0	0.0	444.0	373.0	438.0	0.0	0.0	483.0	379.0	784.0	0.0	910.0	0.0	463.0	656.0
"Bacteroides sp. 3_1_13"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Phocaeicola abscessus"	8371.0	2733.0	0.0	5361.0	895.0	366.0	1391.0	14617.0	916.0	671.0	4284.0	1377.0	3048.0	25974.0	5129.0	1678.0	907.0	7930.0	19296.0	6919.0	5418.0	1634.0	4709.0	8623.0	5557.0	7260.0	3114.0	3323.0	14414.0	3024.0	27709.0	5678.0	3830.0	1343.0	8139.0	11011.0
"Proteiniphilum acetatigenes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Proteiniphilum saccharofermentans"	0.0	0.0	0.0	0.0	0.0	235.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	384.0	0.0	183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Paludibacter propionicigenes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.0	264.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Petrimonas mucosa"	0.0	0.0	0.0	0.0	0.0	638.0	0.0	0.0	785.0	0.0	0.0	0.0	456.0	0.0	469.0	341.0	263.0	289.0	0.0	530.0	0.0	0.0	0.0	478.0	978.0	528.0	593.0	388.0	0.0	293.0	0.0	0.0	0.0	0.0	407.0	0.0
"Porphyromonas catoniae"	5081.0	0.0	0.0	4701.0	384.0	0.0	876.0	3368.0	0.0	0.0	236.0	0.0	0.0	0.0	0.0	2343.0	169.0	0.0	6269.0	0.0	0.0	3745.0	1485.0	715.0	0.0	2664.0	395.0	0.0	928.0	1259.0	14919.0	7210.0	1081.0	0.0	0.0	0.0
"Porphyromonas gingivalis"	12110.0	2183.0	714.0	6848.0	3936.0	19203.0	12626.0	1007.0	3831.0	2382.0	2585.0	2894.0	6474.0	1196.0	60577.0	6153.0	6244.0	10055.0	9574.0	22149.0	6198.0	1252.0	4850.0	10421.0	10431.0	6182.0	5389.0	7053.0	5780.0	5406.0	23621.0	3990.0	8997.0	5209.0	8037.0	31595.0
"Porphyromonas gulae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	492.0	0.0	176.0	234.0	0.0	456.0	0.0	0.0	0.0	0.0	262.0	0.0	230.0	235.0	0.0	0.0	0.0	0.0	0.0	287.0	0.0	218.0
"Porphyromonas loveana"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas macacae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1419.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas sp. KLE 1280"	3032.0	0.0	0.0	5751.0	0.0	0.0	339.0	3080.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2510.0	0.0	0.0	1741.0	0.0	365.0	0.0	828.0	539.0	0.0	479.0	0.0	2026.0	440.0	0.0	0.0	0.0	0.0
"Porphyromonas sp. oral taxon 278"	11110.0	0.0	0.0	750.0	427.0	0.0	792.0	1056.0	0.0	0.0	351.0	0.0	0.0	0.0	0.0	683.0	0.0	0.0	1495.0	0.0	0.0	999.0	808.0	1395.0	422.0	7663.0	2191.0	0.0	3570.0	635.0	2597.0	4760.0	416.0	0.0	0.0	0.0
"Porphyromonadaceae bacterium KH3CP3RA"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonadaceae bacterium KH3R12"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	374.0	0.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Alloprevotella tannerae"	728.0	0.0	1337.0	0.0	0.0	0.0	806.0	0.0	0.0	0.0	308.0	0.0	0.0	0.0	340.0	0.0	0.0	0.0	1079.0	559.0	867.0	0.0	0.0	351.0	0.0	0.0	0.0	0.0	560.0	248.0	0.0	780.0	0.0	3072.0	0.0	263.0
"Prevotella baroniae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	603.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	785.0	0.0	0.0	0.0	298.0	0.0
"Prevotella bivia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	232.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella buccae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	448.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0	0.0
"Prevotella conceptionensis"	5506.0	205.0	2089.0	519.0	1360.0	0.0	2210.0	501.0	0.0	0.0	745.0	325.0	579.0	760.0	571.0	2101.0	301.0	853.0	4477.0	2869.0	986.0	994.0	590.0	6182.0	1481.0	3873.0	2044.0	0.0	9796.0	2182.0	1415.0	3053.0	1485.0	3200.0	1260.0	1380.0
"Prevotella denticola"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	377.0	221.0	0.0	0.0	0.0	408.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella intermedia"	14471.0	292.0	1921.0	668.0	1164.0	631.0	6230.0	0.0	246.0	472.0	1299.0	459.0	609.0	698.0	2286.0	1910.0	507.0	2082.0	4155.0	5383.0	1064.0	1510.0	1029.0	4072.0	1859.0	2261.0	1446.0	898.0	5577.0	1600.0	3595.0	2144.0	3272.0	2565.0	1102.0	769.0
"Prevotella loescheii"	51927.0	507.0	1247.0	3462.0	2028.0	0.0	7376.0	8807.0	0.0	434.0	3022.0	520.0	557.0	2981.0	921.0	5538.0	272.0	1129.0	9569.0	1636.0	1050.0	9183.0	5303.0	6007.0	2092.0	11578.0	4061.0	0.0	16364.0	3522.0	11586.0	2870.0	9936.0	1722.0	1415.0	572.0
"Prevotella maculosa"	2178.0	478.0	2575.0	0.0	1447.0	0.0	672.0	0.0	0.0	210.0	701.0	281.0	1624.0	3802.0	626.0	691.0	311.0	1322.0	2498.0	1568.0	305.0	672.0	358.0	1647.0	1304.0	1271.0	847.0	0.0	5444.0	466.0	1294.0	874.0	1890.0	287.0	527.0	0.0
"Prevotella melaninogenica"	860.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	475.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	558.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella micans"	1204.0	0.0	4197.0	0.0	256.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	315.0	454.0	501.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5119.0	0.0	915.0	0.0	0.0	291.0	0.0	0.0
"Prevotella oris"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	302.0	327.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella saccharolytica"	21439.0	269.0	6742.0	654.0	2925.0	0.0	2580.0	2873.0	0.0	275.0	1789.0	498.0	2301.0	6052.0	1352.0	1797.0	533.0	1889.0	12002.0	3450.0	997.0	2936.0	737.0	3806.0	1935.0	3547.0	2192.0	0.0	18950.0	2397.0	7337.0	3818.0	7789.0	1297.0	1470.0	456.0
"Prevotella shahii"	1716.0	0.0	229.0	0.0	246.0	0.0	391.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	407.0	0.0	0.0	831.0	514.0	0.0	382.0	0.0	938.0	268.0	991.0	446.0	0.0	1830.0	373.0	0.0	576.0	566.0	366.0	0.0	0.0
"Prevotella veroralis"	811.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella sp. HMSC073D09"	5834.0	235.0	2033.0	517.0	1510.0	0.0	2381.0	436.0	0.0	183.0	678.0	363.0	551.0	736.0	618.0	2182.0	326.0	857.0	4553.0	2866.0	1073.0	1003.0	577.0	6286.0	1543.0	3805.0	2168.0	0.0	9794.0	2334.0	1578.0	3126.0	1578.0	3267.0	1303.0	1305.0
"Prevotella sp. oral taxon 317"	7499.0	271.0	2834.0	661.0	2109.0	0.0	3273.0	591.0	0.0	246.0	1028.0	464.0	808.0	985.0	837.0	3100.0	405.0	1177.0	6202.0	3965.0	1401.0	1403.0	810.0	8850.0	2201.0	5520.0	2965.0	184.0	13662.0	3096.0	1915.0	4526.0	2147.0	4682.0	1954.0	1741.0
"Prevotella sp. oral taxon 472"	48559.0	430.0	1023.0	3160.0	1939.0	0.0	6594.0	8175.0	0.0	437.0	2889.0	453.0	497.0	2686.0	792.0	5142.0	250.0	1061.0	9229.0	1384.0	954.0	8357.0	4761.0	5609.0	1888.0	10833.0	3542.0	0.0	15954.0	3311.0	10468.0	2727.0	9134.0	1524.0	1219.0	529.0
"Tannerella forsythia"	35685.0	24910.0	47493.0	19790.0	47064.0	51282.0	44052.0	2511.0	14354.0	32016.0	26849.0	22734.0	22669.0	42190.0	83735.0	27675.0	46089.0	55523.0	13339.0	66688.0	50463.0	19807.0	37086.0	79667.0	29209.0	62448.0	44545.0	40587.0	50811.0	37939.0	50256.0	24085.0	43533.0	98696.0	29869.0	92269.0
"Tannerella sp. oral taxon HOT-286"	40040.0	1913.0	13160.0	17663.0	8896.0	286.0	3449.0	5644.0	0.0	1712.0	5905.0	1968.0	1141.0	11786.0	2130.0	6065.0	1245.0	3008.0	9207.0	3171.0	1964.0	7904.0	1908.0	6761.0	2658.0	74490.0	2011.0	411.0	32390.0	4717.0	13278.0	11164.0	10050.0	3699.0	2082.0	4339.0
"Bacteroidales bacterium WCE2004"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	308.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroidales bacterium WCE2008"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	276.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
