#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	MID102.A0101.metaphlan3	MID101.A0101.metaphlan3	MID097.A0101.metaphlan3	MID094.A0101.metaphlan3	MID093.A0101.metaphlan3	MID092.A0101.metaphlan3	MID091.A0101.metaphlan3	MID090.A0101.metaphlan3	MID089.A0101.metaphlan3	MID088.A0101.metaphlan3	MID087.A0101.metaphlan3	MID086.A0101.metaphlan3	MID085.A0101.metaphlan3	MID084.A0101.metaphlan3	MID083.A0101.metaphlan3	MID082.A0101.metaphlan3	MID081.A0101.metaphlan3	MID080.A0101.metaphlan3	MID079.A0101.metaphlan3	MID078.A0101.metaphlan3	MID077.A0101.metaphlan3	MID076.A0101.metaphlan3	MID075.A0101.metaphlan3	MID074.A0101.metaphlan3	MID073.A0101.metaphlan3	MID072.A0101.metaphlan3	MID071.A0101.metaphlan3	MID070.A0101.metaphlan3	MID068.B0101.metaphlan3	MID068.A0101.metaphlan3	MID067.A0101.metaphlan3	MID066.A0101.metaphlan3	MID065.A0101.metaphlan3	MID064.A0101.metaphlan3	MID063.A0101.metaphlan3	MID062.A0101.metaphlan3	MID061.A0101.metaphlan3	MID060.A0101.metaphlan3	MID059.A0101.metaphlan3	MID058.A0101.metaphlan3	MID057.A0101.metaphlan3	MID056.A0101.metaphlan3	MID055.A0101.metaphlan3	MID054.A0101.metaphlan3	MID053.A0101.metaphlan3	MID052.A0101.metaphlan3	MID051.A0101.metaphlan3	MID050.A0101.metaphlan3	MID049.A0101.metaphlan3	MID048.A0101.metaphlan3	MID047.A0101.metaphlan3	MID046.A0101.metaphlan3	MID045.A0101.metaphlan3	MID044.A0101.metaphlan3	MID043.A0101.metaphlan3	MID042.A0101.metaphlan3	MID041.A0101.metaphlan3	MID040.A0101.metaphlan3	MID039.A0101.metaphlan3	MID038.A0101.metaphlan3	MID037.A0101.metaphlan3	MID036.A0101.metaphlan3	MID035.A0101.metaphlan3	MID034.A0101.metaphlan3	MID033.A0101.metaphlan3	MID032.A0101.metaphlan3	MID031.A0101.metaphlan3	MID030.A0101.metaphlan3	MID029.A0101.metaphlan3	MID028.A0101.metaphlan3	MID027.A0101.metaphlan3	MID026.A0101.metaphlan3	MID025.A0101.metaphlan3	MID024.A0101.metaphlan3	MID023.A0101.metaphlan3	MID022.A0101.metaphlan3	LIB058.A0107.metaphlan3	LIB058.A0106.metaphlan3	LIB058.A0105.metaphlan3	LIB058.A0104.metaphlan3	LIB058.A0103.metaphlan3	LIB058.A0102.metaphlan3	LIB025.A0501.metaphlan3	LIB025.A0401.metaphlan3	LIB025.A0301.metaphlan3	LIB007.A0131.metaphlan3	LIB007.A0130.metaphlan3	LIB007.A0127.metaphlan3	LIB007.A0126.metaphlan3	LIB007.A0125.metaphlan3	LIB007.A0124.metaphlan3	LIB007.A0122.metaphlan3	LIB007.A0121.metaphlan3	LIB007.A0119.metaphlan3	LIB007.A0118.metaphlan3	LIB007.A0116.metaphlan3	LIB007.A0115.metaphlan3	KT36calc.metaphlan3	KT35calc.metaphlan3	KT34calc.metaphlan3	KT33calc.metaphlan3	KT32calc.metaphlan3	KT31calc.metaphlan3	KT30calc.metaphlan3	KT29calc.metaphlan3	KT28calc.metaphlan3	KT27calc.metaphlan3	KT26calc.metaphlan3	KT25calc.metaphlan3	KT24calc.metaphlan3	KT23calc.metaphlan3	KT22calc.metaphlan3	KT21calc.metaphlan3	KT20calc.metaphlan3	KT19calc.metaphlan3	KT18calc.metaphlan3	KT17calc.metaphlan3	KT16calc.metaphlan3	KT15calc.metaphlan3	KT14calc.metaphlan3	KT13calc.metaphlan3	KT12calc.metaphlan3	KT11calc.metaphlan3	KT10calc.metaphlan3	KT09calc.metaphlan3	KT08calc.metaphlan3	KT07calc.metaphlan3	KT06calc.metaphlan3	KT05calc.metaphlan3	KT04calc.metaphlan3	KT03calc.metaphlan3	KT02calc.metaphlan3	KT01calc.metaphlan3	IVE007.B0101.metaphlan3	IVE005.B0101.metaphlan3	IVE005.A0101.metaphlan3	IVE003.A0101.metaphlan3	IVE002.B0101.metaphlan3	EXB059.A2501.metaphlan3	EXB059.A2401.metaphlan3	EXB059.A2301.metaphlan3	EXB059.A2201.metaphlan3	EXB059.A2101.metaphlan3	EXB034.A2701.metaphlan3	EXB033.A0601.metaphlan3	EXB033.A0501.metaphlan3	EXB033.A0401.metaphlan3	EXB015.A3401.metaphlan3	EXB015.A3301.metaphlan3	EXB015.A3201.metaphlan3	EXB015.A3101.metaphlan3	EXB015.A3001.metaphlan3	EXB015.A2901.metaphlan3	EXB015.A2701.metaphlan3	EXB015.A2601.metaphlan3	EXB015.A2501.metaphlan3	EXB015.A2301.metaphlan3	EXB015.A2201.metaphlan3	EXB015.A1901.metaphlan3	EXB015.A1801.metaphlan3	EXB015.A1701.metaphlan3	ELR010.A0101.metaphlan3	ELR008.A0101.metaphlan3	ELR006.A0101.metaphlan3	ELR004.A0101.metaphlan3	ELR003.A0101.metaphlan3	CSS.metaphlan3	CSN.metaphlan3	CSL.metaphlan3	CSD.metaphlan3	CS48.metaphlan3	CS47.metaphlan3	CS46.metaphlan3	CS45.metaphlan3	CS44.metaphlan3	CS43.metaphlan3	CS42.metaphlan3	CS40.metaphlan3	CS39.metaphlan3	CS38.metaphlan3	CS37.metaphlan3	CS36.metaphlan3	CS35.metaphlan3	CS34.metaphlan3	CS33.metaphlan3	CS32.metaphlan3	CS31.metaphlan3	CS30.metaphlan3	CS29.metaphlan3	CS28.metaphlan3	CS27.metaphlan3	CS26.metaphlan3	CS24.metaphlan3	CS23.metaphlan3	CS22.metaphlan3	CS21.metaphlan3	CS20.metaphlan3	CS19.metaphlan3	CS18.metaphlan3	CS17.metaphlan3	CS16.metaphlan3	CS15.metaphlan3	CS14.metaphlan3	CS13.metaphlan3	CS12.metaphlan3	CS11.metaphlan3	CS10.metaphlan3	CS09.metaphlan3	CS08.metaphlan3	CS07.metaphlan3	CS04.metaphlan3	CS03.metaphlan3	CS02.metaphlan3	CS01.metaphlan3	CMB008.A0101.metaphlan3	CMB007.A0101.metaphlan3	CMB006.A0101.metaphlan3	CMB005.A0101.metaphlan3	CMB004.A0101.metaphlan3	CMB003.A0101.metaphlan3	CMB002.A0101.metaphlan3	CMB001.A0101.metaphlan3	ARS017.A0101.metaphlan3	ARS015.A0101.metaphlan3	ARS013.A0101.metaphlan3	ARS012.A0101.metaphlan3	ARS011.A0101.metaphlan3	ARS010.A0101.metaphlan3	ARS006.A0101.metaphlan3	ARS005.A0101.metaphlan3	ARS004.A0101.metaphlan3	ARS001.A0101.metaphlan3
UNKNOWN	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	0	100.0	100.0	0	0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	0	0	0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0	0	0	0	0	0	0	100.0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0
k__Archaea	2157	31.11882	3.91726	19.10051	5.17006	16.59231	10.04629	54.50424	0	29.05486	40.74707	3.78506	8.24739	5.29187	13.30262	2.586	13.09115	18.00809	2.75582	0.13793	12.11921	4.43508	27.2873	22.92885	15.05569	13.58009	13.60816	2.53967	8.35724	1.31617	8.76483	7.32932	11.75696	7.14992	45.26484	24.93456	17.3098	0	26.14959	7.19863	32.34004	13.88309	2.19742	22.78028	0.38592	38.24567	26.3468	0	32.42791	9.01212	14.53661	0.82286	67.68726	37.60824	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.86014	0.32699	0	78.71233	41.40528	43.47136	25.06973	25.06312	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38651	0	70.98665	0	33.09614	4.15365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.02396	0	0	0	0	0	2.07081	2.27664	5.01461	9.47318	3.82962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.9442	0	0	5.33939	8.32234	0.64122	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.33026	63.33893	9.26357	16.54721	1.66547	4.02735	13.10044	54.35422	1.89212	0.65814	50.70139	22.58848	0.29699	0.24561	1.39551	19.8886	1.99447	67.43649	0.91695	0.11115	25.3371	1.05502	0.00362	18.19466	3.37279	46.36885	15.21233	1.21506	30.53682	0.00868	0	3.51161	79.31872	61.28516	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	31.11882	3.91726	19.10051	5.17006	16.59231	10.04629	54.50424	0	29.05486	40.74707	3.78506	8.24739	5.29187	13.30262	2.586	13.09115	18.00809	2.75582	0.1332	12.11921	4.43508	27.2873	22.92885	15.05569	13.58009	13.60816	2.53967	8.35724	1.31617	8.76483	7.32932	11.75696	7.14992	45.26484	24.93456	17.3098	0	26.14959	7.19863	32.34004	13.88309	2.19742	22.78028	0.38592	38.24567	26.3468	0	32.42791	9.01212	14.53661	0.82286	67.68726	37.60824	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.86014	0.32699	0	78.71233	41.40528	43.47136	25.06973	25.06312	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38651	0	70.98665	0	33.09614	4.15365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.02396	0	0	0	0	0	2.07081	2.27664	5.01461	9.47318	3.82962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.32234	0.64122	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.33026	63.33893	9.26357	16.54721	1.66547	4.02735	13.10044	54.35422	1.89212	0.65814	50.70139	22.58848	0.29699	0.24561	1.39551	19.8886	1.99447	67.43649	0.91695	0.11115	25.3371	1.05502	0.00362	18.19466	3.37279	46.36885	15.21233	1.21506	30.53682	0.00868	0	3.51161	79.31872	61.28516	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	31.11882	3.91726	19.10051	5.17006	16.59231	10.04629	54.50424	0	29.05486	40.74707	3.78506	8.24739	5.29187	13.30262	2.586	13.09115	18.00809	2.75582	0.1332	12.11921	4.43508	27.2873	22.92885	15.05569	13.58009	13.60816	2.53967	8.35724	1.31617	8.76483	7.32932	11.75696	7.14992	45.26484	24.93456	17.3098	0	26.14959	7.19863	32.34004	13.88309	2.19742	22.78028	0.38592	38.24567	26.3468	0	32.42791	9.01212	14.53661	0.82286	67.68726	37.60824	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.86014	0.32699	0	78.71233	41.40528	43.47136	25.06973	25.06312	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38651	0	70.98665	0	33.09614	4.15365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.02396	0	0	0	0	0	2.07081	2.27664	5.01461	9.47318	3.82962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.32234	0.64122	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.33026	63.33893	9.26357	16.54721	1.66547	4.02735	13.10044	54.35422	1.89212	0.65814	50.70139	22.58848	0.29699	0.24561	1.39551	19.8886	1.99447	67.43649	0.91695	0.11115	25.3371	1.05502	0.00362	18.19466	3.37279	46.36885	15.21233	1.21506	30.53682	0.00868	0	3.51161	79.31872	61.28516	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	31.11882	3.91726	19.10051	5.17006	16.59231	10.04629	54.50424	0	29.05486	40.74707	3.78506	8.24739	5.29187	13.30262	2.586	13.09115	18.00809	2.75582	0.1332	12.11921	4.43508	27.2873	22.92885	15.05569	13.58009	13.60816	2.53967	8.35724	1.31617	8.76483	7.32932	11.75696	7.14992	45.26484	24.93456	17.3098	0	26.14959	7.19863	32.34004	13.88309	2.19742	22.78028	0.38592	38.24567	26.3468	0	32.42791	9.01212	14.53661	0.82286	67.68726	37.60824	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.86014	0.32699	0	78.71233	41.40528	43.47136	25.06973	25.06312	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38651	0	70.98665	0	33.09614	4.15365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.02396	0	0	0	0	0	2.07081	2.27664	5.01461	9.47318	3.82962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.32234	0.64122	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.33026	63.33893	9.26357	16.54721	1.66547	4.02735	13.10044	54.35422	1.89212	0.65814	50.70139	22.58848	0.29699	0.24561	1.39551	19.8886	1.99447	67.43649	0.91695	0.11115	25.3371	1.05502	0.00362	18.19466	3.37279	46.36885	15.21233	1.21506	30.53682	0.00868	0	3.51161	79.31872	61.28516	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	31.11882	3.91726	19.10051	5.17006	16.59231	10.04629	54.50424	0	29.05486	40.74707	3.78506	8.24739	5.29187	13.30262	2.586	13.09115	18.00809	2.75582	0.1332	12.11921	4.43508	27.2873	22.92885	15.05569	13.58009	13.60816	2.53967	8.35724	1.31617	8.76483	7.32932	11.75696	7.14992	45.26484	24.93456	17.3098	0	26.14959	7.19863	32.34004	13.88309	2.19742	22.78028	0.38592	38.24567	26.3468	0	32.42791	9.01212	14.53661	0.82286	67.68726	37.60824	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.86014	0.32699	0	78.71233	41.40528	43.47136	25.06973	25.06312	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38651	0	70.98665	0	33.09614	4.15365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.02396	0	0	0	0	0	2.07081	2.27664	5.01461	9.47318	3.82962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.32234	0.64122	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.33026	63.33893	9.26357	16.54721	1.66547	4.02735	13.10044	54.35422	1.89212	0.65814	50.70139	22.58848	0.29699	0.24561	1.39551	19.8886	1.99447	67.43649	0.91695	0.11115	25.3371	1.05502	0.00362	18.19466	3.37279	46.36885	15.21233	1.21506	30.53682	0.00868	0	3.51161	79.31872	61.28516	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	31.11882	3.91726	19.10051	5.17006	16.59231	10.04629	54.50424	0	29.05486	40.74707	3.78506	8.24739	5.29187	13.30262	2.586	13.09115	18.00809	2.75582	0.1332	12.11921	4.43508	27.2873	22.92885	15.05569	13.58009	13.60816	2.53967	8.35724	1.31617	8.76483	7.32932	11.75696	7.14992	45.26484	24.93456	17.3098	0	26.14959	7.19863	32.34004	13.88309	2.19742	22.78028	0.38592	38.24567	26.3468	0	32.42791	9.01212	14.53661	0.82286	67.68726	37.60824	1.53035	9.71381	0.29033	18.08941	18.45746	0.00531	0.1473	15.86014	0.32699	0	78.71233	41.40528	43.47136	25.06973	25.06312	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38651	0	70.98665	0	33.09614	4.15365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.20753	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.02396	0	0	0	0	0	2.07081	2.27664	5.01461	9.47318	3.82962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.32234	0.64122	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.33026	63.33893	9.26357	16.54721	1.66547	4.02735	13.10044	54.35422	1.89212	0.65814	50.70139	22.58848	0.29699	0.24561	1.39551	19.8886	1.99447	67.43649	0.91695	0.11115	25.3371	1.05502	0.00362	18.19466	3.37279	46.36885	15.21233	1.21506	30.53682	0.00868	0	3.51161	79.31872	61.28516	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_gottschalkii	2157|28890|183925|2158|2159|2172|190974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00531	0	0	0	0	0.01674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis	2157|28890|183925|2158|2159|2172|66851	31.11882	3.91726	19.10051	5.17006	16.59231	10.04629	54.50424	0	29.05486	40.74707	3.78506	8.24739	5.29187	13.30262	2.586	13.09115	18.00809	2.75582	0.1332	12.11921	4.43508	27.2873	22.92885	15.05569	13.58009	13.60816	2.53967	8.35724	1.31617	8.76483	7.32932	11.75696	7.14992	45.26484	24.93456	17.3098	0	26.14959	7.19863	32.34004	13.88309	2.19742	22.78028	0.38592	38.24567	26.3468	0	32.42791	9.01212	14.53661	0.82286	67.68726	37.60824	1.53035	9.71381	0.29033	18.08941	18.45746	0	0.1473	15.86014	0.32699	0	78.69559	41.40528	43.47136	25.06973	25.06312	22.92128	8.98311	3.3282	0.01571	25.09575	2.17238	0.26857	7.38651	0	70.98665	0	33.09614	4.15365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37576	0.02225	0.36903	0	3.01731	0	0.36271	15.2311	0.1318	1.89375	3.68835	3.19961	1.12763	0	0.35484	0.04886	0	0.96217	0	0.08866	1.23168	0.48967	1.42936	0.67033	0.60751	3.30707	6.06633	0	0.20562	7.34396	0	0.09005	0	0	1.02396	0	0	0	0	0	2.07081	2.27664	5.01461	9.47318	3.82962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33939	8.32234	0.64122	2.46389	0.63489	70.59098	47.3209	0.61879	67.46881	6.33026	63.33893	9.26357	16.54721	1.66547	4.02735	13.10044	54.35422	1.89212	0.65814	50.65703	22.58848	0.29699	0.24561	1.39551	19.8886	1.99447	67.43649	0.91695	0.11115	25.3371	1.05502	0.00362	18.19466	3.37279	46.36885	15.21233	1.21506	30.53682	0.00868	0	3.51161	79.31872	61.28516	0	7.0249	0	1.53159	1.76268	14.30025	4.77047	15.6185	4.25183	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota	2157|651137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.9442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
