#Datasets	CS01.kHFu.unmapped	CS02.kHFu.unmapped	CS03.kHFu.unmapped	CS04.kHFu.unmapped	CS05.kHFu.unmapped	CS06.kHFu.unmapped	CS07.kHFu.unmapped	CS08.kHFu.unmapped	CS09.kHFu.unmapped	CS10.kHFu.unmapped	CS11.kHFu.unmapped	CS12.kHFu.unmapped	CS13.kHFu.unmapped	CS14.kHFu.unmapped	CS15.kHFu.unmapped	CS16.kHFu.unmapped	CS17.kHFu.unmapped	CS18.kHFu.unmapped	CS19.kHFu.unmapped	CS20.kHFu.unmapped	CS21.kHFu.unmapped	CS22.kHFu.unmapped	CS23.kHFu.unmapped	CS24.kHFu.unmapped	CS26.kHFu.unmapped	CS27.kHFu.unmapped	CS28.kHFu.unmapped	CS29.kHFu.unmapped	CS30.kHFu.unmapped	CS31.kHFu.unmapped	CS32.kHFu.unmapped	CS33.kHFu.unmapped	CS34.kHFu.unmapped	CS35.kHFu.unmapped	CS36.kHFu.unmapped	CS37.kHFu.unmapped	CS38.kHFu.unmapped	CS39.kHFu.unmapped	CS40.kHFu.unmapped	CS42.kHFu.unmapped	CS43.kHFu.unmapped	CS44.kHFu.unmapped	CS45.kHFu.unmapped	CS46.kHFu.unmapped	CS47.kHFu.unmapped	CS48.kHFu.unmapped	CSD.kHFu.unmapped	CSL.kHFu.unmapped	CSN.kHFu.unmapped	CSS.kHFu.unmapped
"Candidatus Koribacter versatilis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0
"Edaphobacter aggregans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.0	0.0
"Acidobacteriaceae bacterium KBS 83"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	0.0
"Candidatus Solibacter usitatus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.0	0.0
"Luteitalea pratensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1918.0	0.0
"Candidatus Saccharibacteria oral taxon TM7x"	32844.0	5467.0	6810.0	1584.0	2971.0	3679.0	15335.0	7760.0	25007.0	11899.0	12211.0	7217.0	9564.0	9605.0	14797.0	5706.0	339.0	4120.0	6935.0	7326.0	6303.0	110.0	7109.0	8908.0	1064.0	5544.0	702.0	4371.0	8820.0	273.0	7306.0	13026.0	27.0	25440.0	3730.0	8355.0	21724.0	8889.0	6746.0	7112.0	964.0	1675.0	1382.0	28413.0	19954.0	8710.0	224.0	26.0	0.0	0.0
"Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	381.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Gracilibacteria bacterium HOT-871"	2427.0	0.0	0.0	0.0	0.0	59.0	357.0	0.0	0.0	0.0	0.0	0.0	1282.0	2606.0	0.0	0.0	42.0	0.0	246.0	0.0	0.0	0.0	525.0	2549.0	0.0	0.0	0.0	0.0	491.0	70.0	0.0	229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	402.0	0.0	381.0	0.0	0.0	0.0	0.0	0.0	0.0
"Endomicrobium proavitum"	0.0	0.0	326.0	0.0	0.0	0.0	0.0	0.0	392.0	0.0	634.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	384.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides eggerthii"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides fragilis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides heparinolyticus"	1159.0	0.0	0.0	167.0	0.0	0.0	2519.0	0.0	0.0	2242.0	0.0	1711.0	0.0	1025.0	1588.0	450.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3801.0	473.0	570.0	1334.0	1166.0	0.0	96.0	780.0	0.0	0.0	1725.0	1577.0	719.0	247.0	0.0	0.0	0.0	0.0	342.0	532.0	1024.0	593.0	357.0	0.0	0.0	0.0	0.0
"Bacteroides pyogenes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	692.0	0.0	4.0	0.0	0.0	321.0	0.0	112.0	0.0	0.0	0.0	0.0	516.0	1.0	719.0	1277.0	0.0	0.0	353.0	0.0	0.0	1493.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides thetaiotaomicron"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides zoogleoformans"	0.0	537.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1079.0	0.0	304.0	0.0	0.0	1678.0	478.0	21.0	0.0	0.0	0.0	0.0	4.0	0.0	379.0	130.0	693.0	294.0	0.0	0.0	13.0	0.0	221.0	1.0	399.0	246.0	395.0	0.0	0.0	277.0	0.0	0.0	187.0	0.0	1435.0	0.0	355.0	0.0	0.0	0.0	0.0
"Phocaeicola abscessus"	35200.0	126411.0	3980.0	6910.0	3047.0	4539.0	18865.0	3149.0	41622.0	13479.0	37845.0	9375.0	24958.0	4955.0	69530.0	18053.0	993.0	1614.0	4001.0	2288.0	49833.0	113.0	14143.0	33140.0	6606.0	42308.0	39959.0	1235.0	921.0	998.0	23394.0	50138.0	104.0	68857.0	17932.0	46318.0	8406.0	7645.0	34511.0	12688.0	2619.0	6317.0	2633.0	16483.0	8473.0	9358.0	901.0	63.0	0.0	357.0
"Butyricimonas sp. Marseille-P4593"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Petrimonas mucosa"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	448.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas catoniae"	7841.0	0.0	0.0	0.0	147.0	50.0	396.0	6087.0	0.0	9802.0	0.0	0.0	6469.0	1497.0	2164.0	3831.0	216.0	5197.0	790.0	0.0	0.0	0.0	11310.0	4342.0	0.0	0.0	0.0	8745.0	829.0	184.0	441.0	887.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3002.0	0.0	1473.0	2491.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0
"Porphyromonas crevioricanis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	337.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
