#Datasets	CS01.unmapped	CS02.unmapped	CS03.unmapped	CS04.unmapped	CS07.unmapped	CS08.unmapped	CS09.unmapped	CS10.unmapped	CS11.unmapped	CS12.unmapped	CS13.unmapped	CS14.unmapped	CS15.unmapped	CS16.unmapped	CS17.unmapped	CS18.unmapped	CS19.unmapped	CS20.unmapped	CS21.unmapped	CS22.unmapped	CS23.unmapped	CS24.unmapped	CS26.unmapped	CS27.unmapped	CS28.unmapped	CS29.unmapped	CS30.unmapped	CS31.unmapped	CS32.unmapped	CS33.unmapped	CS34.unmapped	CS35.unmapped	CS36.unmapped	CS37.unmapped	CS38.unmapped	CS39.unmapped	CS40.unmapped	CS42.unmapped	CS43.unmapped	CS44.unmapped	CS45.unmapped	CS46.unmapped	CS47.unmapped	CS48.unmapped	CSD.unmapped	CSL.unmapped	CSN.unmapped	CSS.unmapped
"Candidatus Koribacter versatilis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	216.0	0.0
"Edaphobacter aggregans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	546.0	0.0
"Acidobacteriaceae bacterium KBS 83"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	265.0	0.0
"Acidobacteriaceae bacterium KBS 96"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	352.0	0.0
"Candidatus Solibacter usitatus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	714.0	0.0
"Geothrix fermentans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	0.0
"Luteitalea pratensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4565.0	0.0
"Endomicrobium proavitum"	0.0	0.0	0.0	0.0	0.0	0.0	736.0	0.0	1777.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1844.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	730.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Rhodothermus marinus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	0.0
"Bacteroides heparinolyticus"	863.0	0.0	0.0	1892.0	3607.0	0.0	0.0	4341.0	0.0	3433.0	0.0	668.0	3003.0	1029.0	2184.0	0.0	0.0	0.0	0.0	37773.0	0.0	5524.0	647.0	115.0	3290.0	4406.0	0.0	5012.0	2170.0	0.0	0.0	5125.0	3025.0	2617.0	547.0	0.0	277.0	0.0	0.0	3345.0	934.0	2489.0	1856.0	29.0	0.0	0.0	0.0	0.0
"Bacteroides pyogenes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1308.0	0.0	0.0	0.0	0.0	358.0	0.0	0.0	0.0	0.0	0.0	0.0	1410.0	0.0	1946.0	2104.0	0.0	0.0	0.0	0.0	0.0	2236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides thetaiotaomicron"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides zoogleoformans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2223.0	0.0	625.0	0.0	0.0	3268.0	1087.0	2481.0	0.0	0.0	0.0	0.0	3034.0	0.0	414.0	0.0	139.0	787.0	0.0	0.0	1692.0	0.0	584.0	0.0	1183.0	493.0	1210.0	0.0	0.0	282.0	0.0	0.0	1534.0	0.0	3542.0	1436.0	35.0	0.0	0.0	0.0	0.0
"Petrimonas mucosa"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	932.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas catoniae"	9172.0	0.0	0.0	541.0	490.0	6471.0	0.0	17343.0	0.0	0.0	13608.0	800.0	5012.0	10120.0	0.0	4071.0	1642.0	0.0	0.0	0.0	37017.0	5086.0	0.0	0.0	0.0	23497.0	1065.0	2771.0	0.0	2525.0	12927.0	0.0	0.0	0.0	0.0	0.0	0.0	1855.0	0.0	13676.0	3322.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas crevioricanis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	445.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
