Library_ID	Observed_species	Shannon_index	Pileou_evenness	Site_code	Time_period	Dataset
CMB001.A0101	38	2.74728647955506	0.755249871459185	CMB	Industrial	Full
CMB002.A0101	78	3.26026021381941	0.746149244458574	CMB	Industrial	Full
CMB003.A0101	37	2.44923623295246	0.6782863228145	CMB	Industrial	Full
CMB004.A0101	33	2.43005725927175	0.694995568164181	CMB	Industrial	Full
CMB005.A0101	76	3.09478534171058	0.714609997554356	CMB	Industrial	Full
CMB006.A0101	87	2.94874695933161	0.660279361103373	CMB	Industrial	Full
CMB007.A0101	41	2.25568946051608	0.607417715342182	CMB	Industrial	Full
CMB008.A0101	36	2.31401628856508	0.645738540330426	CMB	Industrial	Full
CS01	93	3.53222891672688	0.779294292836264	RAD	Industrial	Full
CS02	33	1.72796919175417	0.494198614296559	RAD	Industrial	Full
CS03	41	1.03995533587484	0.280041781119323	RAD	Industrial	Full
CS04	74	3.12756642791371	0.726654072414455	RAD	Industrial	Full
CS07	82	3.62350664668175	0.820012978130153	RAD	Industrial	Full
CS08	98	3.77647766580134	0.82184530305357	RAD	Industrial	Full
CS09	77	2.954617418945	0.680191015021142	RAD	Industrial	Full
CS10	116	3.74721745763014	0.786871187179617	RAD	Industrial	Full
CS11	69	2.87392686929393	0.678756395516624	RAD	Industrial	Full
CS12	70	2.57331717382634	0.60368529846357	RAD	Industrial	Full
CS13	116	3.83815150938964	0.805966258675229	RAD	Industrial	Full
CS14	30	2.61250469665621	0.768113227048143	RAD	Industrial	Full
CS15	113	3.26431545723219	0.689226917495138	RAD	Industrial	Full
CS16	97	3.1655609429448	0.690421678598833	RAD	Industrial	Full
CS17	77	2.79367773665164	0.641235815333198	RAD	Industrial	Full
CS18	47	2.55492914165296	0.659983590222757	RAD	Industrial	Full
CS19	101	3.59150643658364	0.776546496936757	RAD	Industrial	Full
CS20	71	1.4598439182424	0.3424709244776	RAD	Industrial	Full
CS21	74	2.61924034473547	0.60665838002508	RAD	Industrial	Full
CS22	118	3.26202108927091	0.682556350337604	RAD	Industrial	Full
CS23	96	3.74595340505957	0.818839358958816	RAD	Industrial	Full
CS24	79	3.76684499545841	0.859612528516442	RAD	Industrial	Full
CS26	41	2.86536810567929	0.771593510025033	RAD	Industrial	Full
CS27	24	2.33553033525016	0.734893258555804	RAD	Industrial	Full
CS28	29	2.02325530990338	0.600854635902752	RAD	Industrial	Full
CS29	95	2.99150361769571	0.655406531711964	RAD	Industrial	Full
CS30	61	3.20418793358538	0.779442045524725	RAD	Industrial	Full
CS31	103	2.42100886967904	0.521275862056879	RAD	Industrial	Full
CS32	94	2.93282780648356	0.644028786086215	RAD	Industrial	Full
CS33	80	3.3583978688396	0.764236369709444	RAD	Industrial	Full
CS34	98	3.45722775174854	0.752369440733364	RAD	Industrial	Full
CS35	49	2.6576524391937	0.682881591548284	RAD	Industrial	Full
CS36	31	2.70069436752087	0.786460230251727	RAD	Industrial	Full
CS37	62	1.66264703423589	0.402857498476567	RAD	Industrial	Full
CS38	45	2.70498641603531	0.710592657821502	RAD	Industrial	Full
CS39	57	1.55434268716393	0.384447929099953	RAD	Industrial	Full
CS40	33	2.44378900760189	0.698922843620832	RAD	Industrial	Full
CS42	71	2.5512168856828	0.596543385591618	RAD	Industrial	Full
CS43	32	1.29656818679655	0.374110498653155	RAD	Industrial	Full
CS44	98	3.70499509763291	0.806289110723498	RAD	Industrial	Full
CS45	76	3.34767540806417	0.770678030655336	RAD	Industrial	Full
CS46	84	3.60087414692659	0.810523702860096	RAD	Industrial	Full
