Species
[Actinopolyspora] iraqiensis
[Clostridium] sporosphaeroides
[Mycobacterium] stephanolepidis
[Polyangium] brachysporum
[Pseudomonas] mesoacidophila
Achromobacter denitrificans
Achromobacter sp. DMS1
Achromobacter xylosoxidans
Acidihalobacter prosperus
Acidimicrobium ferrooxidans
Acidipropionibacterium acidipropionici
Acidipropionibacterium jensenii
Acidisphaera rubrifaciens
Acidobacteriaceae bacterium KBS 83
Acidobacteriaceae bacterium KBS 89
Acidobacteriaceae bacterium KBS 96
Acidobacteriaceae bacterium URHE0068
Acidobacterium capsulatum
Acidothermus cellulolyticus
Acidovorax avenae
Acidovorax carolinensis
Acidovorax sp. GW101-3H11
Acidovorax sp. KKS102
Acidovorax sp. MR-S7
Acidovorax wautersii
Acinetobacter genomosp. 33YU
Acinetobacter johnsonii
Acinetobacter junii
Actinoalloteichus cyanogriseus
Actinoalloteichus hoggarensis
Actinoalloteichus hymeniacidonis
Actinoalloteichus sp. GBA129-24
Actinobacteria bacterium IMCC26256
actinobacterium LLX17
Actinokineospora bangkokensis
Actinokineospora cianjurensis
Actinokineospora enzanensis
Actinokineospora inagensis
Actinokineospora mzabensis
Actinokineospora terrae
Actinomadura amylolytica
Actinomadura atramentaria
Actinomadura echinospora
Actinomadura flavalba
Actinomadura madurae
Actinomadura meyerae
Actinomadura oligospora
Actinomadura pelletieri
Actinomadura rifamycini
Actinomadura sp. 5-2
Actinomadura sp. CNU-125
Actinomadura viridilutea
Actinomyces culturomici
Actinomyces glycerinitolerans
Actinomyces sp. HMSC035G02
Actinomyces sp. HMSC062G12
Actinomyces sp. oral taxon 178
Actinomycetospora chiangmaiensis
Actinomycetospora cinnamomea
Actinoplanes atraurantiacus
Actinoplanes derwentensis
Actinoplanes friuliensis
Actinoplanes globisporus
Actinoplanes italicus
Actinoplanes lutulentus
Actinoplanes missouriensis
Actinoplanes regularis
Actinoplanes sp. N902-109
Actinoplanes sp. SE50/110
Actinoplanes sp. TFC3
Actinoplanes teichomyceticus
Actinoplanes xinjiangensis
Actinopolymorpha alba
Actinopolymorpha cephalotaxi
Actinopolymorpha singaporensis
Actinopolyspora erythraea
Actinopolyspora mortivallis
Actinopolyspora mzabensis
Actinospica robiniae
Actinosynnema mirum
Actinosynnema pretiosum
Aeromicrobium choanae
Aeromicrobium erythreum
Aeromicrobium marinum
Aeromicrobium massiliense
Aeromicrobium sp. Leaf245
Aeromicrobium sp. Leaf272
Aeromicrobium sp. Root344
Aeromicrobium sp. Root472D3
Aeromicrobium sp. Root495
Aeromonas sp. ASNIH5
Afifella marina
Afifella pfennigii
Afipia birgiae
Afipia broomeae
Afipia clevelandensis
Afipia felis
Afipia sp. GAS231
Agrobacterium rhizogenes
Agrococcus carbonis
Agrococcus jejuensis
Agrococcus lahaulensis
Agromyces aureus
Agromyces flavus
Agromyces sp. Root81
Albidovulum xiamenense
Albimonas pacifica
Alicycliphilus denitrificans
Alicyclobacillus acidocaldarius
Alloactinosynnema album
Alloactinosynnema iranicum
Alloactinosynnema sp. L-07
Allochromatium vinosum
Allokutzneria albata
Allokutzneria sp. NRRL B-24872
Allonocardiopsis opalescens
Alloprevotella tannerae
Altererythrobacter marensis
Altererythrobacter sp. B11
Aminobacter aminovorans
Aminobacter sp. MSH1
Aminobacter sp. Root100
Aminobacterium colombiense
Amorphus coralli
Amycolatopsis alba
Amycolatopsis albispora
Amycolatopsis azurea
Amycolatopsis balhimycina
Amycolatopsis benzoatilytica
Amycolatopsis coloradensis
Amycolatopsis halophila
Amycolatopsis japonica
Amycolatopsis kentuckyensis
Amycolatopsis keratiniphila
Amycolatopsis lexingtonensis
Amycolatopsis marina
Amycolatopsis mediterranei
Amycolatopsis methanolica
Amycolatopsis orientalis
Amycolatopsis pretoriensis
Amycolatopsis regifaucium
Amycolatopsis saalfeldensis
Amycolatopsis sp. CB00013
Amycolatopsis sp. M39
Amycolatopsis sp. MJM2582
Amycolatopsis taiwanensis
Amycolatopsis thermoflava
Amycolatopsis xylanica
Anaeromassilibacillus senegalensis
Anaeromyxobacter dehalogenans
Anaeromyxobacter sp. Fw109-5
Anaeromyxobacter sp. K
Anaplasma phagocytophilum
Angustibacter sp. Root456
Aquamicrobium defluvii
Aquimonas voraii
Aquincola tertiaricarbonis
Aquisalimonas asiatica
Archangium gephyra
Arenimonas composti
Arhodomonas aquaeolei
Aromatoleum aromaticum
Arsenicicoccus sp. oral taxon 190
Arthrobacter sp. Soil736
Asanoa hainanensis
Asticcacaulis biprosthecium
Atopobium sp. oral taxon 810
Aurantimonas manganoxydans
Auraticoccus monumenti
Aureimonas jatrophae
Aureimonas sp. AU20
Aureimonas sp. Leaf460
Azoarcus sp. CIB
Azoarcus sp. DN11
Azoarcus sp. KH32C
Azoarcus toluclasticus
