Species
[Eubacterium] sulci
Abiotrophia defectiva
Abiotrophia sp. HMSC24B09
Actinobaculum sp. oral taxon 183
Actinokineospora bangkokensis
Actinokineospora cianjurensis
Actinokineospora enzanensis
Actinokineospora inagensis
Actinokineospora mzabensis
Actinomyces gerencseriae
Actinomyces sp. oral taxon 180
Alloactinosynnema iranicum
Alloactinosynnema sp. L-07
Alloprevotella tannerae
Anaeroglobus geminatus
Atopobium parvulum
Bradyrhizobium erythrophlei
Bradyrhizobium japonicum
Bradyrhizobium sp. 2 39S1MB
Bradyrhizobium sp. ORS 3257
Candidatus Gracilibacteria bacterium HOT-871
Capnocytophaga gingivalis
Capnocytophaga sp. oral taxon 329
Capnocytophaga sp. oral taxon 332
Capnocytophaga sp. oral taxon 878
Caulobacter sp. UNC358MFTsu5.1
Caulobacteraceae bacterium OTSz_A_272
Corynebacterium durum
Cupriavidus oxalaticus
Dasyatis americana
Desulfococcus multivorans
Desulfovibrio fairfieldensis
Desulfovibrio legallii
Desulfovibrio piger
Desulfovibrio sp. 6_1_46AFAA
Dongia sp. URHE0060
Eikenella sp. HMSC071B05
Enterococcus faecium
Ereboglobus luteus
Fusobacterium sp. oral taxon 203
Gemella bergeri
Glaciibacter superstes
Gordonibacter massiliensis
Gordonibacter urolithinfaciens
Granulicatella adiacens
Granulicatella sp. 572.rep1_STHE
Granulicatella sp. HMSC30F09
Granulicatella sp. HMSC31F03
Haemophilus parainfluenzae
Kibdelosporangium aridum
Kibdelosporangium phytohabitans
Kibdelosporangium sp. MJ126-NF4
Kingella denitrificans
Kingella oralis
Lautropia mirabilis
Leptotrichia goodfellowii
Leptotrichia sp. oral taxon 215
Leptotrichia sp. oral taxon 498
Luteimonas abyssi
Lysinimicrobium aestuarii
Lysobacter defluvii
Massilia sp. WG5
Massilia sp. YMA4
Mesorhizobium sp. Root172
Metallibacterium scheffleri
Methanobrevibacter arboriphilus
Methanobrevibacter wolinii
Methylobacterium sp. Leaf399
Methylococcus capsulatus
Morococcus cerebrosus
Mycobacterium asiaticum
Mycobacterium avium
Mycobacterium bohemicum
Mycobacterium canettii
Mycobacterium chimaera
Mycobacterium colombiense
Mycobacterium dioxanotrophicus
Mycobacterium gordonae
Mycobacterium haemophilum
Mycobacterium interjectum
Mycobacterium intermedium
Mycobacterium intracellulare
Mycobacterium kansasii
Mycobacterium marinum
Mycobacterium marseillense
Mycobacterium montefiorense
Mycobacterium nebraskense
Mycobacterium paraffinicum
Mycobacterium paragordonae
Mycobacterium parascrofulaceum
Mycobacterium sherrisii
Mycobacterium shigaense
Mycobacterium shimoidei
Mycobacterium simiae
Mycobacterium sp. 141
Mycobacterium sp. 155
Mycobacterium sp. 360MFTsu5.1
