Species
[Polyangium] brachysporum
[Pseudomonas] mesoacidophila
Acetoanaerobium sticklandii
Acetobacteraceae
Achromobacter denitrificans
Achromobacter insolitus
Achromobacter sp. MFA1 R4
Achromobacter xylosoxidans
Acidaminococcus
Acidihalobacter ferrooxidans
Acidihalobacter prosperus
Acidimicrobium ferrooxidans
Acidiphilium multivorum
Acidipropionibacterium acidipropionici
Acidobacteria bacterium Mor1
Acidobacteriaceae
Acidobacterium capsulatum
Acidothermus cellulolyticus
Acidovorax avenae
Acidovorax carolinensis
Acidovorax citrulli
Acidovorax ebreus
Acidovorax sp. JS42
Acidovorax sp. KKS102
Acidovorax sp. RAC01
Acidovorax sp. T1
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lwoffii
Actinoalloteichus hoggarensis
Actinoalloteichus hymeniacidonis
Actinoalloteichus sp. ADI127-7
Actinoalloteichus sp. GBA129-24
Actinobacillus pleuropneumoniae
Actinobacteria bacterium IMCC25003
Actinobacteria bacterium IMCC26256
Actinoplanes derwentensis
Actinoplanes friuliensis
Actinoplanes missouriensis
Actinoplanes sp. ATCC 53533
Actinoplanes sp. N902-109
Actinoplanes sp. SE50/110
Actinopolymorpha singaporensis
Actinopolyspora erythraea
Actinosynnema mirum
Actinosynnema pretiosum
Aeromicrobium choanae
Aeromicrobium erythreum
Aeromonas hydrophila
Afipia sp. GAS231
Agrobacterium sp. RAC06
Agrobacterium tumefaciens
Agrococcus carbonis
Agrococcus jejuensis
Agromyces
Agromyces aureus
Agromyces flavus
Alcaligenes faecalis
Alcanivorax pacificus
Alicycliphilus denitrificans
Alicyclobacillus acidocaldarius
Alkalilimnicola ehrlichii
Alkaliphilus oremlandii
Alloactinosynnema sp. L-07
Allochromatium vinosum
Allokutzneria albata
Altererythrobacter dongtanensis
Altererythrobacter marensis
Aminobacter aminovorans
Amycolatopsis japonica
Amycolatopsis keratiniphila
Amycolatopsis lurida
Amycolatopsis mediterranei
Amycolatopsis methanolica
Amycolatopsis orientalis
Anaerococcus prevotii
Anaeromyxobacter
Anaeromyxobacter dehalogenans
Anaeromyxobacter sp. Fw109-5
Anaeromyxobacter sp. K
Anaerotignum propionicum
Anoxybacillus
Aquificae
Archangiaceae
Archangium gephyra
Aromatoleum aromaticum
Arsenicicoccus sp. oral taxon 190
Arthrobacter alpinus
Arthrobacter saudimassiliensis
Arthrobacter sp. ERGS1:01
Arthrobacter sp. FB24
Arthrobacter sp. Hiyo4
Arthrobacter sp. Hiyo8
Arthrobacter sp. QXT-31
Arthrobacter sp. U41
Atopobium parvulum
Aurantimicrobium minutum
Auraticoccus monumenti
Aureimonas frigidaquae
Aureimonas sp. AU20
Aureococcus anophagefferens
Auricoccus indicus
Azoarcus olearius
Azoarcus sp. BH72
Azoarcus sp. CIB
Azoarcus sp. KH32C
Azorhizobium caulinodans
Azospira oryzae
Azospirillum brasilense
Azospirillum humicireducens
Azospirillum lipoferum
Azospirillum thiophilum
Azotobacter
Azotobacter chroococcum
Azotobacter vinelandii
bacterium
Bacteroides dorei
Barnesiella viscericola
Beijerinckia indica
Beijerinckiaceae
beta proteobacterium CB
Betaproteobacteria bacterium GR16-43
Beutenbergia cavernae
Bifidobacterium bifidum
Bifidobacterium breve
Bifidobacterium dentium
Bifidobacterium longum
Blastochloris viridis
Blastococcus saxobsidens
Bordetella bronchialis
Bordetella bronchiseptica
Bordetella flabilis
Bordetella genomosp. 13
Bordetella genomosp. 8
Bordetella genomosp. 9
Bordetella hinzii
Bordetella pertussis
Bordetella petrii
Bordetella pseudohinzii
Bordetella sp. H567
Bordetella sp. N
Bordetella trematum
Bosea sp. PAMC 26642
Bosea sp. RAC05
Bosea vaviloviae
Brachybacterium faecium
Brachybacterium ginsengisoli
Brachybacterium sp. P6-10-X1
Bradyrhizobium canariense
Bradyrhizobium diazoefficiens
Bradyrhizobium erythrophlei
Bradyrhizobium icense
Bradyrhizobium japonicum
Bradyrhizobium lablabi
Bradyrhizobium oligotrophicum
Bradyrhizobium ottawaense
Bradyrhizobium sp.
Bradyrhizobium sp. BTAi1
Bradyrhizobium sp. CCGE-LA001
Bradyrhizobium sp. ORS 278
Bradyrhizobium sp. ORS 285
Bradyrhizobium sp. S23321
Brevibacterium linens
Brevibacterium sandarakinum
Brevibacterium siliguriense
Brevundimonas diminuta
Brevundimonas naejangsanensis
Brevundimonas sp. DS20
Brevundimonas sp. GW460-12-10-14-LB2
Brevundimonas sp. LM2
Brevundimonas subvibrioides
Brevundimonas vesicularis
Burkholderia ambifaria
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia contaminans
Burkholderia diffusa
Burkholderia dolosa
Burkholderia gladioli
Burkholderia glumae
Burkholderia insecticola
Burkholderia lata
