#Datasets	ELR003.A0101.unmapped	ELR004.A0101.unmapped	ELR006.A0101.unmapped	ELR008.A0101.unmapped	ELR010.A0101.unmapped	IVE002.B0101.unmapped	IVE003.A0101.unmapped	IVE005.A0101.unmapped	IVE005.B0101.unmapped	IVE007.B0101.unmapped	LIB007.A0125.unmapped	LIB007.A0130.unmapped	LIB007.A0131.unmapped	EXB015.A3001.unmapped	EXB015.A3301.unmapped	EXB015.A3401.unmapped
Acidobacterium capsulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Candidatus Koribacter versatilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edaphobacter aggregans	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
Granulicella mallensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicella tundricola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silvibacterium bohemicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terracidiphilus gabretensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terriglobus roseus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terriglobus saanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriaceae bacterium KBS 83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriaceae bacterium KBS 89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriaceae bacterium KBS 96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriaceae bacterium URHE0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Solibacter usitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloracidobacterium thermophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geothrix fermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holophaga foetida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoanaerobaculum aquaticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luteitalea pratensis	0	0	0	0	1531	0	0	0	0	0	0	0	0	0	0	2
Coprothermobacter proteolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mucispirillum schaedleri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elusimicrobium minutum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endomicrobium proavitum	0	0	0	0	0	0	0	0	0	2403	0	0	0	0	0	0
Rhodothermus marinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinibacter ruber	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodothermaceae bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodothermaceae bacterium RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides barnesiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides bouchesdurhonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides caecimuris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides cellulosilyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides coprocola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides coprophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides eggerthii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides faecis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteroides fluxus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides galacturonicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides graminisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0
Bacteroides helcogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteroides heparinolyticus	0	874	0	0	0	0	726	1446	0	0	0	0	0	0	0	0
Bacteroides ilei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides mediterraneensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides nordii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides oleiciplenus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteroides plebeius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides pyogenes	0	0	0	0	0	0	0	0	0	747	0	0	0	0	0	0
Bacteroides salanitronis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides salyersiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sartorii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides stercorirosoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides stercoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides togonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides uniformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides vulgatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides zoogleoformans	0	0	0	1013	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 1_1_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 2_1_33B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 2_2_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 3_1_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 3_1_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 3_1_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 3_1_33FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 3_1_40A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 3_2_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 4_1_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 4_3_47FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. 9_1_42FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. AR20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. AR29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. D20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. D22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. HMSC067B03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. HMSC068A09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. HMSC073E02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. HPS0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. Marseille-P3684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mediterranea massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
