#Datasets	CMB001.A0101.unmapped	CMB002.A0101.unmapped	CMB003.A0101.unmapped	CMB004.A0101.unmapped	CMB005.A0101.unmapped	CMB006.A0101.unmapped	CMB007.A0101.unmapped	CMB008.A0101.unmapped	CS01.unmapped	CS02.unmapped.10M	CS03.unmapped.10M	CS04.unmapped.10M	CS07.unmapped	CS08.unmapped	CS09.unmapped.10M	CS10.unmapped.10M	CS11.unmapped.10M	CS12.unmapped	CS13.unmapped.10M	CS14.unmapped	CS15.unmapped.10M	CS16.unmapped.10M	CS17.unmapped.10M	CS18.unmapped	CS19.unmapped	CS20.unmapped.10M	CS21.unmapped.10M	CS22.unmapped.10M	CS23.unmapped.10M	CS24.unmapped	CS26.unmapped	CS27.unmapped	CS28.unmapped.10M	CS29.unmapped.10M	CS30.unmapped	CS31.unmapped.10M	CS32.unmapped.10M	CS33.unmapped.10M	CS34.unmapped	CS35.unmapped.10M	CS36.unmapped	CS37.unmapped.10M	CS38.unmapped.10M	CS39.unmapped	CS40.unmapped	CS42.unmapped	CS43.unmapped	CS44.unmapped	CS45.unmapped	CS46.unmapped.10M	CS47.unmapped.10M	CS48.unmapped	ELR003.A0101.unmapped	ELR004.A0101.unmapped	ELR006.A0101.unmapped.10M	ELR008.A0101.unmapped.10M	ELR010.A0101.unmapped.10M	IVE002.B0101.unmapped.10M	IVE003.A0101.unmapped	IVE005.A0101.unmapped	IVE005.B0101.unmapped.10M	IVE007.B0101.unmapped.10M	JAE006.A0101.unmapped.10M	JAE007.A0101.unmapped.10M	JAE008.A0101.unmapped.10M	JAE009.A0101.unmapped.10M	JAE010.A0101.unmapped.10M	JAE012.A0101.unmapped.10M	JAE013.A0101.unmapped.10M	JAE014.A0101.unmapped.10M	JAE015.A0101.unmapped.10M	JAE016.A0101.unmapped.10M	KT01calc.unmapped.10M	KT02calc.unmapped	KT03calc.unmapped	KT04calc.unmapped	KT05calc.unmapped	KT06calc.unmapped	KT07calc.unmapped	KT08calc.unmapped	KT09calc.unmapped	KT10calc.unmapped	KT11calc.unmapped	KT12calc.unmapped	KT13calc.unmapped	KT14calc.unmapped	KT15calc.unmapped	KT16calc.unmapped	KT17calc.unmapped	KT18calc.unmapped	KT19calc.unmapped	KT20calc.unmapped	KT21calc.unmapped	KT22calc.unmapped	KT23calc.unmapped	KT24calc.unmapped	KT25calc.unmapped	KT26calc.unmapped	KT27calc.unmapped	KT28calc.unmapped	KT29calc.unmapped	KT30calc.unmapped	KT31calc.unmapped	KT32calc.unmapped	KT33calc.unmapped	KT34calc.unmapped	KT35calc.unmapped	KT36calc.unmapped	MID022.A0101.unmapped.10M	MID023.A0101.unmapped	MID024.A0101.unmapped	MID025.A0101.unmapped	MID026.A0101.unmapped	MID027.A0101.unmapped	MID028.A0101.unmapped	MID029.A0101.unmapped	MID030.A0101.unmapped.10M	MID031.A0101.unmapped	MID032.A0101.unmapped.10M	MID033.A0101.unmapped	MID034.A0101.unmapped.10M	MID035.A0101.unmapped	MID036.A0101.unmapped	MID037.A0101.unmapped.10M	MID038.A0101.unmapped	MID039.A0101.unmapped	MID040.A0101.unmapped	MID041.A0101.unmapped	MID042.A0101.unmapped	MID043.A0101.unmapped	MID044.A0101.unmapped	MID045.A0101.unmapped.10M	MID046.A0101.unmapped	MID047.A0101.unmapped	MID048.A0101.unmapped	MID049.A0101.unmapped.10M	MID050.A0101.unmapped.10M	MID051.A0101.unmapped	MID052.A0101.unmapped	MID053.A0101.unmapped	MID054.A0101.unmapped.10M	MID055.A0101.unmapped.10M	MID056.A0101.unmapped.10M	MID057.A0101.unmapped.10M	MID058.A0101.unmapped	MID059.A0101.unmapped.10M	MID060.A0101.unmapped	MID061.A0101.unmapped.10M	MID062.A0101.unmapped	MID063.A0101.unmapped	MID064.A0101.unmapped	MID065.A0101.unmapped.10M	MID066.A0101.unmapped	MID067.A0101.unmapped	MID068.A0101.unmapped	MID068.B0101.unmapped	MID070.A0101.unmapped.10M	MID071.A0101.unmapped.10M	MID072.A0101.unmapped.10M	MID073.A0101.unmapped.10M	MID074.A0101.unmapped	MID075.A0101.unmapped	MID076.A0101.unmapped	MID077.A0101.unmapped.10M	MID078.A0101.unmapped	MID079.A0101.unmapped	MID080.A0101.unmapped	MID081.A0101.unmapped	MID082.A0101.unmapped.10M	MID083.A0101.unmapped.10M	MID084.A0101.unmapped.10M	MID085.A0101.unmapped.10M	MID086.A0101.unmapped	MID087.A0101.unmapped	MID088.A0101.unmapped.10M	MID089.A0101.unmapped	MID090.A0101.unmapped	MID091.A0101.unmapped.10M	MID092.A0101.unmapped.10M	MID093.A0101.unmapped.10M	MID094.A0101.unmapped.10M	MID097.A0101.unmapped.10M	MID101.A0101.unmapped	MID102.A0101.unmapped.10M
"Luteitalea pratensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Chrysiogenes arsenatis"	0.0	0.0	0.0	0.0	0.0	0.0	368.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Endomicrobium trichonymphae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	618.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Endomicrobium proavitum"	0.0	0.0	0.0	0.0	0.0	0.0	1116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	516.0	0.0	962.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	730.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1623.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.0	0.0	0.0	0.0	0.0	0.0	0.0	197.0	0.0	0.0	0.0	0.0	0.0	462.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	527.0	0.0	0.0	364.0	497.0	1730.0	1163.0	0.0	0.0	0.0	0.0	0.0	1226.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1546.0	2546.0	2207.0	0.0	0.0	1173.0	0.0	2300.0	0.0	0.0	613.0	0.0	0.0	0.0	0.0	2116.0	1112.0	0.0	0.0	0.0	7434.0	1018.0	0.0	1523.0	1605.0	607.0	0.0	0.0	0.0	936.0	0.0	668.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"uncultured Termite group 1 bacterium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	699.0	0.0	0.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Rhodothermaceae bacterium RA"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides heparinolyticus"	0.0	649.0	0.0	0.0	0.0	0.0	0.0	1423.0	863.0	0.0	0.0	1892.0	3607.0	0.0	0.0	2585.0	0.0	3433.0	0.0	668.0	2415.0	1003.0	1699.0	0.0	0.0	0.0	0.0	22685.0	0.0	5524.0	647.0	115.0	2633.0	2123.0	0.0	2334.0	799.0	0.0	0.0	1874.0	3025.0	1168.0	373.0	0.0	277.0	0.0	0.0	3345.0	934.0	2491.0	619.0	29.0	0.0	874.0	0.0	0.0	0.0	0.0	726.0	1446.0	0.0	0.0	0.0	0.0	0.0	5417.0	0.0	0.0	0.0	1208.0	1154.0	1826.0	2001.0	0.0	0.0	463.0	0.0	227.0	733.0	1702.0	287.0	431.0	0.0	637.0	337.0	396.0	910.0	0.0	0.0	702.0	2407.0	1784.0	0.0	359.0	381.0	527.0	785.0	1395.0	274.0	459.0	1009.0	846.0	2417.0	329.0	11285.0	0.0	1568.0	2082.0	0.0	2766.0	736.0	1024.0	756.0	0.0	392.0	0.0	0.0	6169.0	0.0	3885.0	1847.0	501.0	721.0	1064.0	0.0	0.0	7444.0	0.0	0.0	2273.0	4285.0	1180.0	674.0	525.0	0.0	1103.0	2286.0	480.0	1310.0	848.0	7803.0	722.0	17575.0	1177.0	996.0	1203.0	446.0	2010.0	5355.0	392.0	907.0	857.0	631.0	1525.0	2532.0	331.0	3631.0	1111.0	627.0	5860.0	6048.0	792.0	2788.0	1059.0	851.0	2345.0	1503.0	750.0	1025.0	1022.0	1591.0	744.0	3345.0	0.0	0.0	1325.0	0.0	664.0	2505.0	2262.0	0.0	2160.0	6434.0	2610.0
"Bacteroides pyogenes"	0.0	1172.0	0.0	267.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	689.0	0.0	0.0	0.0	0.0	360.0	0.0	0.0	0.0	0.0	0.0	0.0	1268.0	0.0	762.0	2106.0	0.0	0.0	0.0	0.0	0.0	2236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	515.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1057.0	0.0	0.0	273.0	0.0	1364.0	368.0	0.0	1836.0	511.0	0.0	283.0	1132.0	0.0	1156.0	804.0	690.0	833.0	0.0	1451.0	0.0	0.0	0.0	1378.0	2837.0	899.0	1652.0	1031.0	521.0	679.0	744.0	0.0	636.0	327.0	910.0	512.0	0.0	0.0	743.0	0.0	0.0	0.0	0.0	0.0	646.0	0.0	0.0	0.0	1680.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	465.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	459.0	0.0	0.0	0.0	0.0	700.0	0.0	0.0	0.0	551.0	0.0	0.0	0.0	0.0	0.0	647.0	0.0	0.0	0.0	229.0	0.0	0.0	0.0	0.0	0.0	719.0	0.0	0.0	1284.0	0.0	0.0
"Bacteroides thetaiotaomicron"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides vulgatus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	707.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
