#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	VLC010.A0101.sub75bp.metaphlan3	VLC009.A0101.sub75bp.metaphlan3	VLC008.A0101.sub75bp.metaphlan3	VLC005.A0101.sub75bp.metaphlan3	VLC004.A0101.sub75bp.metaphlan3	VLC003.A0101.sub75bp.metaphlan3	VLC002.A0101.sub75bp.metaphlan3	VLC001.A0101.sub75bp.metaphlan3	MID102.A0101.sub75bp.metaphlan3	MID101.A0101.sub75bp.metaphlan3	MID097.A0101.sub75bp.metaphlan3	MID094.A0101.sub75bp.metaphlan3	MID093.A0101.sub75bp.metaphlan3	MID092.A0101.sub75bp.metaphlan3	MID091.A0101.sub75bp.metaphlan3	MID090.A0101.sub75bp.metaphlan3	MID089.A0101.sub75bp.metaphlan3	MID088.A0101.sub75bp.metaphlan3	MID087.A0101.sub75bp.metaphlan3	MID086.A0101.sub75bp.metaphlan3	MID085.A0101.sub75bp.metaphlan3	MID084.A0101.sub75bp.metaphlan3	MID083.A0101.sub75bp.metaphlan3	MID082.A0101.sub75bp.metaphlan3	MID081.A0101.sub75bp.metaphlan3	MID080.A0101.sub75bp.metaphlan3	MID079.A0101.sub75bp.metaphlan3	MID078.A0101.sub75bp.metaphlan3	MID077.A0101.sub75bp.metaphlan3	MID076.A0101.sub75bp.metaphlan3	MID075.A0101.sub75bp.metaphlan3	MID074.A0101.sub75bp.metaphlan3	MID073.A0101.sub75bp.metaphlan3	MID072.A0101.sub75bp.metaphlan3	MID071.A0101.sub75bp.metaphlan3	MID070.A0101.sub75bp.metaphlan3	MID068.B0101.sub75bp.metaphlan3	MID068.A0101.sub75bp.metaphlan3	MID067.A0101.sub75bp.metaphlan3	MID066.A0101.sub75bp.metaphlan3	MID065.A0101.sub75bp.metaphlan3	MID064.A0101.sub75bp.metaphlan3	MID063.A0101.sub75bp.metaphlan3	MID062.A0101.sub75bp.metaphlan3	MID061.A0101.sub75bp.metaphlan3	MID060.A0101.sub75bp.metaphlan3	MID059.A0101.sub75bp.metaphlan3	MID058.A0101.sub75bp.metaphlan3	MID057.A0101.sub75bp.metaphlan3	MID056.A0101.sub75bp.metaphlan3	MID055.A0101.sub75bp.metaphlan3	MID054.A0101.sub75bp.metaphlan3	MID053.A0101.sub75bp.metaphlan3	MID052.A0101.sub75bp.metaphlan3	MID051.A0101.sub75bp.metaphlan3	MID050.A0101.sub75bp.metaphlan3	MID049.A0101.sub75bp.metaphlan3	MID048.A0101.sub75bp.metaphlan3	MID047.A0101.sub75bp.metaphlan3	MID046.A0101.sub75bp.metaphlan3	MID045.A0101.sub75bp.metaphlan3	MID044.A0101.sub75bp.metaphlan3	MID043.A0101.sub75bp.metaphlan3	MID042.A0101.sub75bp.metaphlan3	MID041.A0101.sub75bp.metaphlan3	MID040.A0101.sub75bp.metaphlan3	MID039.A0101.sub75bp.metaphlan3	MID038.A0101.sub75bp.metaphlan3	MID037.A0101.sub75bp.metaphlan3	MID036.A0101.sub75bp.metaphlan3	MID035.A0101.sub75bp.metaphlan3	MID034.A0101.sub75bp.metaphlan3	MID033.A0101.sub75bp.metaphlan3	MID032.A0101.sub75bp.metaphlan3	MID031.A0101.sub75bp.metaphlan3	MID030.A0101.sub75bp.metaphlan3	MID029.A0101.sub75bp.metaphlan3	MID028.A0101.sub75bp.metaphlan3	MID027.A0101.sub75bp.metaphlan3	MID026.A0101.sub75bp.metaphlan3	MID025.A0101.sub75bp.metaphlan3	MID024.A0101.sub75bp.metaphlan3	MID023.A0101.sub75bp.metaphlan3	MID022.A0101.sub75bp.metaphlan3	KT36calc.sub75bp.metaphlan3	KT35calc.sub75bp.metaphlan3	KT34calc.sub75bp.metaphlan3	KT33calc.sub75bp.metaphlan3	KT32calc.sub75bp.metaphlan3	KT31calc.sub75bp.metaphlan3	KT30calc.sub75bp.metaphlan3	KT29calc.sub75bp.metaphlan3	KT28calc.sub75bp.metaphlan3	KT27calc.sub75bp.metaphlan3	KT26calc.sub75bp.metaphlan3	KT25calc.sub75bp.metaphlan3	KT24calc.sub75bp.metaphlan3	KT23calc.sub75bp.metaphlan3	KT22calc.sub75bp.metaphlan3	KT21calc.sub75bp.metaphlan3	KT20calc.sub75bp.metaphlan3	KT19calc.sub75bp.metaphlan3	KT18calc.sub75bp.metaphlan3	KT17calc.sub75bp.metaphlan3	KT16calc.sub75bp.metaphlan3	KT15calc.sub75bp.metaphlan3	KT14calc.sub75bp.metaphlan3	KT13calc.sub75bp.metaphlan3	KT12calc.sub75bp.metaphlan3	KT11calc.sub75bp.metaphlan3	KT10calc.sub75bp.metaphlan3	KT09calc.sub75bp.metaphlan3	KT08calc.sub75bp.metaphlan3	KT07calc.sub75bp.metaphlan3	KT06calc.sub75bp.metaphlan3	KT05calc.sub75bp.metaphlan3	KT04calc.sub75bp.metaphlan3	KT03calc.sub75bp.metaphlan3	KT02calc.sub75bp.metaphlan3	KT01calc.sub75bp.metaphlan3	JAE016.A0101.sub75bp.metaphlan3	JAE015.A0101.sub75bp.metaphlan3	JAE014.A0101.sub75bp.metaphlan3	JAE013.A0101.sub75bp.metaphlan3	JAE012.A0101.sub75bp.metaphlan3	JAE010.A0101.sub75bp.metaphlan3	JAE009.A0101.sub75bp.metaphlan3	JAE008.A0101.sub75bp.metaphlan3	JAE007.A0101.sub75bp.metaphlan3	JAE006.A0101.sub75bp.metaphlan3	IVE007.B0101.sub75bp.metaphlan3	IVE005.B0101.sub75bp.metaphlan3	IVE005.A0101.sub75bp.metaphlan3	IVE003.A0101.sub75bp.metaphlan3	IVE002.B0101.sub75bp.metaphlan3	ELR010.A0101.sub75bp.metaphlan3	ELR008.A0101.sub75bp.metaphlan3	ELR006.A0101.sub75bp.metaphlan3	ELR004.A0101.sub75bp.metaphlan3	ELR003.A0101.sub75bp.metaphlan3	CS48.sub75bp.metaphlan3	CS47.sub75bp.metaphlan3	CS46.sub75bp.metaphlan3	CS45.sub75bp.metaphlan3	CS44.sub75bp.metaphlan3	CS43.sub75bp.metaphlan3	CS42.sub75bp.metaphlan3	CS40.sub75bp.metaphlan3	CS39.sub75bp.metaphlan3	CS38.sub75bp.metaphlan3	CS37.sub75bp.metaphlan3	CS36.sub75bp.metaphlan3	CS35.sub75bp.metaphlan3	CS34.sub75bp.metaphlan3	CS33.sub75bp.metaphlan3	CS32.sub75bp.metaphlan3	CS31.sub75bp.metaphlan3	CS30.sub75bp.metaphlan3	CS29.sub75bp.metaphlan3	CS28.sub75bp.metaphlan3	CS27.sub75bp.metaphlan3	CS26.sub75bp.metaphlan3	CS24.sub75bp.metaphlan3	CS23.sub75bp.metaphlan3	CS22.sub75bp.metaphlan3	CS21.sub75bp.metaphlan3	CS20.sub75bp.metaphlan3	CS19.sub75bp.metaphlan3	CS18.sub75bp.metaphlan3	CS17.sub75bp.metaphlan3	CS16.sub75bp.metaphlan3	CS15.sub75bp.metaphlan3	CS14.sub75bp.metaphlan3	CS13.sub75bp.metaphlan3	CS12.sub75bp.metaphlan3	CS11.sub75bp.metaphlan3	CS10.sub75bp.metaphlan3	CS09.sub75bp.metaphlan3	CS08.sub75bp.metaphlan3	CS07.sub75bp.metaphlan3	CS04.sub75bp.metaphlan3	CS03.sub75bp.metaphlan3	CS02.sub75bp.metaphlan3	CS01.sub75bp.metaphlan3	CMB008.A0101.sub75bp.metaphlan3	CMB007.A0101.sub75bp.metaphlan3	CMB006.A0101.sub75bp.metaphlan3	CMB005.A0101.sub75bp.metaphlan3	CMB004.A0101.sub75bp.metaphlan3	CMB003.A0101.sub75bp.metaphlan3	CMB002.A0101.sub75bp.metaphlan3	CMB001.A0101.sub75bp.metaphlan3
k__Archaea	2157	0	0	0	0	0.6653	0	0	0.9439	30.96581	4.13905	21.20742	5.71938	17.1844	10.81697	60.6682	0	30.42171	43.30178	4.39237	8.49942	6.14104	13.18305	2.73795	15.39507	18.18551	3.09681	0.09348	13.51705	4.36841	27.78221	24.00497	17.10978	14.51922	13.5128	2.67717	9.06154	0.95413	10.38386	7.65195	13.28937	7.56483	45.90266	24.99231	18.9776	0	29.18012	8.00313	33.46818	15.22218	2.30658	25.28901	0.30094	38.13567	26.88989	0	35.2485	9.67372	16.49202	0.86743	68.86506	41.13044	1.38419	10.23647	0.1436	20.16684	19.51979	0	0	17.65123	0.44598	0	79.81068	44.42705	46.22503	27.24368	25.87596	26.94874	10.64813	3.47745	0	25.22055	2.07083	0.14169	7.60744	0	5.71102	0	0.34965	0	3.7008	0	0.35084	19.50103	0	2.27957	5.02374	3.74046	1.33097	0	0.35939	0	0	1.14204	0	0	1.54716	0.46543	1.48467	0.40327	0.60214	4.28843	8.48284	0	0.02277	9.1469	0	0	0	0	1.12356	0	0.9601	1.01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76973	0	2.07257	0.22763	73.37763	45.76174	0	58.34208	4.81209	53.79324	6.7778	9.7565	1.23922	4.22013	7.8135	48.11574	0.90579	0.47286	42.75408	27.45017	0	0	0.92619	19.49643	1.67511	65.18407	0.88128	0	20.42633	1.13822	0	25.62959	2.19198	50.79209	13.16355	0.96406	24.22119	0	0	2.02864	76.38597	56.20135	0	6.65055	0	1.66519	2.10076	15.08887	5.30931	19.6495	4.9166
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0.6653	0	0	0.9439	30.96581	4.13905	21.20742	5.71938	17.1844	10.81697	60.6682	0	30.42171	43.30178	4.39237	8.49942	6.14104	13.18305	2.73795	15.39507	18.18551	3.09681	0.09348	13.51705	4.36841	27.78221	24.00497	17.10978	14.51922	13.5128	2.67717	9.06154	0.95413	10.38386	7.65195	13.28937	7.56483	45.90266	24.99231	18.9776	0	29.18012	8.00313	33.46818	15.22218	2.30658	25.28901	0.30094	38.13567	26.88989	0	35.2485	9.67372	16.49202	0.86743	68.86506	41.13044	1.38419	10.23647	0.1436	20.16684	19.51979	0	0	17.65123	0.44598	0	79.81068	44.42705	46.22503	27.24368	25.87596	26.94874	10.64813	3.47745	0	25.22055	2.07083	0.14169	7.60744	0	5.71102	0	0.34965	0	3.7008	0	0.35084	19.50103	0	2.27957	5.02374	3.74046	1.33097	0	0.35939	0	0	1.14204	0	0	1.54716	0.46543	1.48467	0.40327	0.60214	4.28843	8.48284	0	0.02277	9.1469	0	0	0	0	1.12356	0	0.9601	1.01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76973	0	2.07257	0.22763	73.37763	45.76174	0	58.34208	4.81209	53.79324	6.7778	9.7565	1.23922	4.22013	7.8135	48.11574	0.90579	0.47286	42.75408	27.45017	0	0	0.92619	19.49643	1.67511	65.18407	0.88128	0	20.42633	1.13822	0	25.62959	2.19198	50.79209	13.16355	0.96406	24.22119	0	0	2.02864	76.38597	56.20135	0	6.65055	0	1.66519	2.10076	15.08887	5.30931	19.6495	4.9166
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0.6653	0	0	0.9439	30.96581	4.13905	21.20742	5.71938	17.1844	10.81697	60.6682	0	30.42171	43.30178	4.39237	8.49942	6.14104	13.18305	2.73795	15.39507	18.18551	3.09681	0.09348	13.51705	4.36841	27.78221	24.00497	17.10978	14.51922	13.5128	2.67717	9.06154	0.95413	10.38386	7.65195	13.28937	7.56483	45.90266	24.99231	18.9776	0	29.18012	8.00313	33.46818	15.22218	2.30658	25.28901	0.30094	38.13567	26.88989	0	35.2485	9.67372	16.49202	0.86743	68.86506	41.13044	1.38419	10.23647	0.1436	20.16684	19.51979	0	0	17.65123	0.44598	0	79.81068	44.42705	46.22503	27.24368	25.87596	26.94874	10.64813	3.47745	0	25.22055	2.07083	0.14169	7.60744	0	5.71102	0	0.34965	0	3.7008	0	0.35084	19.50103	0	2.27957	5.02374	3.74046	1.33097	0	0.35939	0	0	1.14204	0	0	1.54716	0.46543	1.48467	0.40327	0.60214	4.28843	8.48284	0	0.02277	9.1469	0	0	0	0	1.12356	0	0.9601	1.01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76973	0	2.07257	0.22763	73.37763	45.76174	0	58.34208	4.81209	53.79324	6.7778	9.7565	1.23922	4.22013	7.8135	48.11574	0.90579	0.47286	42.75408	27.45017	0	0	0.92619	19.49643	1.67511	65.18407	0.88128	0	20.42633	1.13822	0	25.62959	2.19198	50.79209	13.16355	0.96406	24.22119	0	0	2.02864	76.38597	56.20135	0	6.65055	0	1.66519	2.10076	15.08887	5.30931	19.6495	4.9166
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0.6653	0	0	0.9439	30.96581	4.13905	21.20742	5.71938	17.1844	10.81697	60.6682	0	30.42171	43.30178	4.39237	8.49942	6.14104	13.18305	2.73795	15.39507	18.18551	3.09681	0.09348	13.51705	4.36841	27.78221	24.00497	17.10978	14.51922	13.5128	2.67717	9.06154	0.95413	10.38386	7.65195	13.28937	7.56483	45.90266	24.99231	18.9776	0	29.18012	8.00313	33.46818	15.22218	2.30658	25.28901	0.30094	38.13567	26.88989	0	35.2485	9.67372	16.49202	0.86743	68.86506	41.13044	1.38419	10.23647	0.1436	20.16684	19.51979	0	0	17.65123	0.44598	0	79.81068	44.42705	46.22503	27.24368	25.87596	26.94874	10.64813	3.47745	0	25.22055	2.07083	0.14169	7.60744	0	5.71102	0	0.34965	0	3.7008	0	0.35084	19.50103	0	2.27957	5.02374	3.74046	1.33097	0	0.35939	0	0	1.14204	0	0	1.54716	0.46543	1.48467	0.40327	0.60214	4.28843	8.48284	0	0.02277	9.1469	0	0	0	0	1.12356	0	0.9601	1.01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76973	0	2.07257	0.22763	73.37763	45.76174	0	58.34208	4.81209	53.79324	6.7778	9.7565	1.23922	4.22013	7.8135	48.11574	0.90579	0.47286	42.75408	27.45017	0	0	0.92619	19.49643	1.67511	65.18407	0.88128	0	20.42633	1.13822	0	25.62959	2.19198	50.79209	13.16355	0.96406	24.22119	0	0	2.02864	76.38597	56.20135	0	6.65055	0	1.66519	2.10076	15.08887	5.30931	19.6495	4.9166
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0.6653	0	0	0.9439	30.96581	4.13905	21.20742	5.71938	17.1844	10.81697	60.6682	0	30.42171	43.30178	4.39237	8.49942	6.14104	13.18305	2.73795	15.39507	18.18551	3.09681	0.09348	13.51705	4.36841	27.78221	24.00497	17.10978	14.51922	13.5128	2.67717	9.06154	0.95413	10.38386	7.65195	13.28937	7.56483	45.90266	24.99231	18.9776	0	29.18012	8.00313	33.46818	15.22218	2.30658	25.28901	0.30094	38.13567	26.88989	0	35.2485	9.67372	16.49202	0.86743	68.86506	41.13044	1.38419	10.23647	0.1436	20.16684	19.51979	0	0	17.65123	0.44598	0	79.81068	44.42705	46.22503	27.24368	25.87596	26.94874	10.64813	3.47745	0	25.22055	2.07083	0.14169	7.60744	0	5.71102	0	0.34965	0	3.7008	0	0.35084	19.50103	0	2.27957	5.02374	3.74046	1.33097	0	0.35939	0	0	1.14204	0	0	1.54716	0.46543	1.48467	0.40327	0.60214	4.28843	8.48284	0	0.02277	9.1469	0	0	0	0	1.12356	0	0.9601	1.01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76973	0	2.07257	0.22763	73.37763	45.76174	0	58.34208	4.81209	53.79324	6.7778	9.7565	1.23922	4.22013	7.8135	48.11574	0.90579	0.47286	42.75408	27.45017	0	0	0.92619	19.49643	1.67511	65.18407	0.88128	0	20.42633	1.13822	0	25.62959	2.19198	50.79209	13.16355	0.96406	24.22119	0	0	2.02864	76.38597	56.20135	0	6.65055	0	1.66519	2.10076	15.08887	5.30931	19.6495	4.9166
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0	0	0.6653	0	0	0.9439	30.96581	4.13905	21.20742	5.71938	17.1844	10.81697	60.6682	0	30.42171	43.30178	4.39237	8.49942	6.14104	13.18305	2.73795	15.39507	18.18551	3.09681	0.09348	13.51705	4.36841	27.78221	24.00497	17.10978	14.51922	13.5128	2.67717	9.06154	0.95413	10.38386	7.65195	13.28937	7.56483	45.90266	24.99231	18.9776	0	29.18012	8.00313	33.46818	15.22218	2.30658	25.28901	0.30094	38.13567	26.88989	0	35.2485	9.67372	16.49202	0.86743	68.86506	41.13044	1.38419	10.23647	0.1436	20.16684	19.51979	0	0	17.65123	0.44598	0	79.81068	44.42705	46.22503	27.24368	25.87596	26.94874	10.64813	3.47745	0	25.22055	2.07083	0.14169	7.60744	0	5.71102	0	0.34965	0	3.7008	0	0.35084	19.50103	0	2.27957	5.02374	3.74046	1.33097	0	0.35939	0	0	1.14204	0	0	1.54716	0.46543	1.48467	0.40327	0.60214	4.28843	8.48284	0	0.02277	9.1469	0	0	0	0	1.12356	0	0.9601	1.01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76973	0	2.07257	0.22763	73.37763	45.76174	0	58.34208	4.81209	53.79324	6.7778	9.7565	1.23922	4.22013	7.8135	48.11574	0.90579	0.47286	42.75408	27.45017	0	0	0.92619	19.49643	1.67511	65.18407	0.88128	0	20.42633	1.13822	0	25.62959	2.19198	50.79209	13.16355	0.96406	24.22119	0	0	2.02864	76.38597	56.20135	0	6.65055	0	1.66519	2.10076	15.08887	5.30931	19.6495	4.9166
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_gottschalkii	2157|28890|183925|2158|2159|2172|190974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis	2157|28890|183925|2158|2159|2172|66851	0	0	0	0	0.6653	0	0	0.9439	30.96581	4.13905	21.20742	5.71938	17.1844	10.81697	60.6682	0	30.42171	43.30178	4.39237	8.49942	6.14104	13.18305	2.73795	15.39507	18.18551	3.09681	0.09348	13.51705	4.36841	27.78221	24.00497	17.10978	14.51922	13.5128	2.67717	9.06154	0.95413	10.38386	7.65195	13.28937	7.56483	45.90266	24.99231	18.9776	0	29.18012	8.00313	33.46818	15.22218	2.30658	25.28901	0.30094	38.13567	26.88989	0	35.2485	9.67372	16.49202	0.86743	68.86506	41.13044	1.38419	10.23647	0.1436	20.16684	19.51979	0	0	17.65123	0.44598	0	79.78815	44.42705	46.22503	27.24368	25.87596	26.94874	10.64813	3.47745	0	25.22055	2.07083	0.14169	7.60744	0	5.71102	0	0.34965	0	3.7008	0	0.35084	19.50103	0	2.27957	5.02374	3.74046	1.33097	0	0.35939	0	0	1.14204	0	0	1.54716	0.46543	1.48467	0.40327	0.60214	4.28843	8.48284	0	0.02277	9.1469	0	0	0	0	1.12356	0	0.9601	1.01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76973	0	2.07257	0.22763	73.37763	45.76174	0	58.34208	4.81209	53.79324	6.7778	9.7565	1.23922	4.22013	7.8135	48.11574	0.90579	0.47286	42.75408	27.45017	0	0	0.92619	19.49643	1.67511	65.18407	0.88128	0	20.42633	1.13822	0	25.62959	2.19198	50.79209	13.16355	0.96406	24.22119	0	0	2.02864	76.38597	56.20135	0	6.65055	0	1.66519	2.10076	15.08887	5.30931	19.6495	4.9166
k__Bacteria	2	100.0	100.0	100.0	100.0	99.3347	100.0	100.0	99.0561	69.03419	95.86095	78.79258	94.28062	82.8156	89.18303	39.3318	100.0	69.57829	56.69822	95.60763	91.50058	93.85896	86.81695	97.26205	84.60493	81.81449	96.90319	99.90652	86.48295	95.63159	72.21779	75.99503	82.89022	85.48078	86.4872	97.32283	90.93846	99.04587	89.61614	92.34805	86.71063	92.43517	54.09734	75.00769	81.0224	100.0	70.81988	91.99687	66.53182	84.77782	97.69342	74.71099	99.69906	61.86433	73.11011	100.0	64.7515	90.32628	83.50798	99.13257	31.13494	58.86956	98.61581	89.76353	99.8564	79.83316	80.48021	100.0	100.0	82.34877	99.55402	100.0	20.18932	55.57295	53.77497	72.75632	74.12404	73.05126	89.35187	96.52255	100.0	74.77945	97.92917	99.85831	92.39256	100.0	94.28898	100.0	99.65035	100.0	96.2992	100.0	99.64916	80.49897	100.0	97.72043	94.97626	96.25954	98.66903	100.0	99.64061	100.0	100.0	98.85796	100.0	100.0	98.45284	99.53457	98.51533	99.59673	99.39786	95.71157	91.51716	100.0	99.97723	90.8531	100.0	100.0	100.0	100.0	98.87644	100.0	99.0399	98.98655	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	92.23027	100.0	97.92743	99.77237	26.62237	54.23826	100.0	41.65792	95.18791	46.20676	93.2222	90.2435	98.76078	95.77987	92.1865	51.88426	99.09421	99.52714	57.24592	72.54983	100.0	100.0	99.07381	80.50357	98.32489	34.81593	99.11872	100.0	79.57367	98.86178	100.0	74.37041	97.80802	49.20791	86.83645	99.03594	75.77881	100.0	100.0	97.97136	23.61403	43.79865	100.0	93.34945	100.0	98.33481	97.89924	84.91113	94.69069	80.3505	95.0834
k__Bacteria|p__Actinobacteria	2|201174	69.33954	53.66506	16.93713	17.73724	40.93684	11.56254	25.30552	17.12613	12.92717	6.80322	6.4017	13.38132	10.30521	1.87403	11.86645	25.05429	11.07275	4.49093	22.1991	12.62074	22.34783	7.45739	12.22875	17.88148	18.9851	12.71398	15.59026	21.7891	24.1713	5.10306	0.0835	15.41059	9.28751	2.39481	14.89156	5.23072	1.70463	20.27291	7.9775	30.24461	3.52156	2.75106	3.10241	14.79964	9.35172	4.22884	9.59523	2.93316	10.2369	54.43955	17.87245	8.11171	1.0825	2.94417	3.90582	5.86776	7.09109	8.72676	15.07095	1.58337	5.89878	13.9459	26.31743	11.25576	6.47427	6.55127	9.54821	17.66935	22.01042	9.53446	13.52426	0.35807	6.59349	4.83206	2.2344	6.77188	7.2928	19.66328	11.1646	34.20458	2.47218	2.56609	10.98919	7.49269	4.39288	12.97047	14.11509	26.29889	19.0772	12.88599	12.79858	32.30883	12.83161	19.18307	11.75214	21.5349	9.98165	25.83841	27.30577	12.97964	13.61077	21.9575	10.98237	19.50164	17.68382	7.67258	55.70379	23.06672	28.3254	31.34567	10.05523	17.51142	22.76846	16.51089	5.10842	38.66588	9.58326	30.19059	26.1704	11.9995	23.1471	21.97303	34.50174	12.13251	18.77272	48.48968	49.66513	24.81062	4.25191	12.8147	29.79034	6.16288	13.64388	32.71146	6.63992	0	20.84408	19.36196	24.70181	20.56873	0	7.6552	8.96695	37.23659	49.30514	0.86491	2.94356	1.75311	1.85416	1.68528	0.94283	2.0107	3.87157	10.59541	8.56604	2.86556	1.55747	31.32494	1.54083	1.82896	0	5.03715	5.37309	8.36162	2.39955	6.98877	1.7204	5.87024	0	6.31517	7.67474	10.16697	4.80616	12.51603	2.74722	8.39131	10.55723	10.78121	19.46991	23.14899	8.00055	3.58614	1.12394	5.4364	26.47653	3.8206	5.08191	12.6517	3.1681	4.79978	9.22694	4.79111
