Taxon	PC1
Streptococcus sanguinis	0.33859832934687
Lautropia mirabilis	0.2855166858135
Neisseria mucosa	0.240296421832554
Neisseria sicca	0.218358162211749
Neisseria elongata	0.184618099640403
Capnocytophaga sputigena	0.16728976963001
Streptococcus oralis	0.147701711370183
Abiotrophia sp HMSC24B09	0.142268647496794
Ottowia sp oral taxon 894	0.123711517336972
Capnocytophaga gingivalis	0.117816980971066
Methanobrevibacter oralis	-0.2635184113419
Eubacterium minutum	-0.249059679276398
Anaerolineaceae bacterium oral taxon 439	-0.229285391477614
Eubacterium saphenum	-0.197597586759045
Desulfobulbus oralis	-0.193885773625151
Fretibacterium fastidiosum	-0.170874943996438
Tannerella forsythia	-0.153690102107546
Pseudoramibacter alactolyticus	-0.142789906411411
Peptostreptococcaceae bacterium oral taxon 113	-0.120685180447337
Treponema socranskii	-0.110675643615916
