# Pathway	CMB001.A0101.unmapped_Abundance	CMB002.A0101.unmapped_Abundance	CMB003.A0101.unmapped_Abundance	CMB004.A0101.unmapped_Abundance	CMB005.A0101.unmapped_Abundance	CMB006.A0101.unmapped_Abundance	CMB007.A0101.unmapped_Abundance	CMB008.A0101.unmapped_Abundance	EXB034.A2701.unmapped_Abundance	EXB059.A2101.unmapped_Abundance	EXB059.A2201.unmapped_Abundance	EXB059.A2301.unmapped_Abundance	EXB059.A2401.unmapped_Abundance	EXB059.A2501.unmapped_Abundance	LIB058.A0102.unmapped_Abundance	LIB058.A0103.unmapped_Abundance	LIB058.A0104.unmapped_Abundance	LIB058.A0105.unmapped_Abundance	LIB058.A0106.unmapped_Abundance	LIB058.A0107.unmapped_Abundance	MID022.A0101.unmapped_Abundance	MID023.A0101.unmapped_Abundance	MID024.A0101.unmapped_Abundance	MID025.A0101.unmapped_Abundance	MID026.A0101.unmapped_Abundance	MID027.A0101.unmapped_Abundance	MID028.A0101.unmapped_Abundance	MID029.A0101.unmapped_Abundance	MID030.A0101.unmapped_Abundance	MID031.A0101.unmapped_Abundance	MID032.A0101.unmapped_Abundance	MID033.A0101.unmapped_Abundance	MID034.A0101.unmapped_Abundance	MID035.A0101.unmapped_Abundance	MID036.A0101.unmapped_Abundance	MID037.A0101.unmapped_Abundance	MID038.A0101.unmapped_Abundance	MID039.A0101.unmapped_Abundance	MID040.A0101.unmapped_Abundance	MID041.A0101.unmapped_Abundance	MID042.A0101.unmapped_Abundance	MID043.A0101.unmapped_Abundance	MID044.A0101.unmapped_Abundance	MID045.A0101.unmapped_Abundance	MID046.A0101.unmapped_Abundance	MID047.A0101.unmapped_Abundance	MID048.A0101.unmapped_Abundance	MID049.A0101.unmapped_Abundance	MID050.A0101.unmapped_Abundance	MID051.A0101.unmapped_Abundance	MID052.A0101.unmapped_Abundance	MID053.A0101.unmapped_Abundance	MID054.A0101.unmapped_Abundance	MID055.A0101.unmapped_Abundance	MID056.A0101.unmapped_Abundance	MID057.A0101.unmapped_Abundance	MID058.A0101.unmapped_Abundance	MID059.A0101.unmapped_Abundance	MID060.A0101.unmapped_Abundance	MID061.A0101.unmapped_Abundance	MID062.A0101.unmapped_Abundance	MID063.A0101.unmapped_Abundance	MID064.A0101.unmapped_Abundance	MID065.A0101.unmapped_Abundance	MID066.A0101.unmapped_Abundance	MID067.A0101.unmapped_Abundance	MID068.A0101.unmapped_Abundance	MID068.B0101.unmapped_Abundance	MID070.A0101.unmapped_Abundance	MID071.A0101.unmapped_Abundance	MID072.A0101.unmapped_Abundance	MID073.A0101.unmapped_Abundance	MID074.A0101.unmapped_Abundance	MID075.A0101.unmapped_Abundance	MID076.A0101.unmapped_Abundance	MID077.A0101.unmapped_Abundance	MID078.A0101.unmapped_Abundance	MID079.A0101.unmapped_Abundance	MID080.A0101.unmapped_Abundance	MID081.A0101.unmapped_Abundance	MID082.A0101.unmapped_Abundance	MID083.A0101.unmapped_Abundance	MID084.A0101.unmapped_Abundance	MID085.A0101.unmapped_Abundance	MID086.A0101.unmapped_Abundance	MID087.A0101.unmapped_Abundance	MID088.A0101.unmapped_Abundance	MID089.A0101.unmapped_Abundance	MID090.A0101.unmapped_Abundance	MID091.A0101.unmapped_Abundance	MID092.A0101.unmapped_Abundance	MID093.A0101.unmapped_Abundance	MID094.A0101.unmapped_Abundance	MID097.A0101.unmapped_Abundance	MID101.A0101.unmapped_Abundance	MID102.A0101.unmapped_Abundance
UNMAPPED	636580	669749	630788	681350	574968	606089	659333	718184	907090	0	965028	958552	964503	890453	0	0	0	0	752943	0	619564	444363	705568	686442	539000	479079	621497	548071	698783	720956	667165	685663	607112	659443	495472	567202	568748	600797	639422	636582	485269	526833	601648	610788	638041	656571	583706	549492	629122	581903	659921	593952	722188	634245	626216	614878	603523	647328	609406	330216	646703	710042	606326	453369	616439	623910	626716	622730	580198	526660	593479	588156	673278	745244	705163	529891	581807	414327	514752	671391	700535	557774	619444	567703	653266	493149	596855	645926	463160	598495	698935	611846	503178	656009	514752	599548
UNINTEGRATED	332160	296978	339877	294104	384702	356205	312286	261545	92825.5	0	34724.9	40717.3	35278.9	100980	0	0	0	0	225544	0	348402	501103	274136	289290	415206	472349	342672	407947	278363	255822	303185	290125	359396	309181	454423	393467	390865	360626	332918	331531	462249	429651	365740	349049	332810	311018	372736	409502	338234	389370	313701	372120	254678	333410	339399	349357	364643	324308	357559	598980	321595	267693	360043	486042	347649	346626	336006	335490	383921	420606	372680	369400	296280	235159	270759	422752	376665	528150	435017	299251	273171	397666	348034	392549	316468	457177	367771	321593	482983	361601	278234	355327	447302	317644	435695	363535
UNINTEGRATED|g__Abiotrophia.s__Abiotrophia_defectiva	0	1225.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5800.71	0	0	488.348	1920.58	707.952	1898.06	0	0	0	0	0	0	2559.82	1572.69	980.452	1767.46	0	0	1277.53	1355.47	356.785	741.308	0	0	348.082	1057.74	411.329	0	0	0	0	0	0	463.234	0	0	0	2938.16	249.412	0	0	5008.42	0	0	0	1125.06	439.65	2829.2	0	452.087	0	0	0	1044.88	767.085	8621.05	2687.39	0	0	702.642	0	104.211	0	1277.36	0	238.257	3739.87	0	0	0	1601.74	0	815.563	450.336
UNINTEGRATED|g__Abiotrophia.s__Abiotrophia_sp_HMSC24B09	0	1728.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10044.9	0	0	973.099	1178.47	930.676	3434.69	0	0	0	0	0	0	4636.52	1840.48	1541.23	3902.51	0	0	1583.37	1811.8	568.928	991.296	0	0	704.402	1793.54	856.852	0	0	0	0	0	0	600.132	0	0	0	5082.34	141.698	0	0	6020.14	0	0	0	1563.7	1080.64	5182.83	0	755.416	0	0	0	1924.58	1710.53	11298.6	3722.45	0	0	1508.11	0	168.17	0	2149.77	0	552.452	6288.5	0	0	0	3140.52	0	1225.49	796.194
UNINTEGRATED|g__Actinomyces.s__Actinomyces_cardiffensis	0	846.976	1868.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574.131	0	0	0	0	0	0	0	0	0	2479.09	0	0	0	0	0	0	1660.03	1446.17	0	0	0	1270.48	0	2080.49	0	0	0	875.957	0	0	0	0	333.591	677.041	3011.82	1696.87	0	1579.48	0	0	0	0	0	0	0	0	820.06	580.315	563.532	0	1434.69	4802.85	0	4072.69	1186.84	0	1585.55	0	0	1497.85	0	1430.87	1433.55	0	0	0	0	0	972.797	3187.35	0	0	1290.03	902.903	1079.94
UNINTEGRATED|g__Actinomyces.s__Actinomyces_georgiae	0	0	0	0	0	134.273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.448	0	0	0	1031.52	0	0	0	0	0	0	0	0	0	0	630.499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368.203	188.505	0	0	0	0	0	0	0	0	0	612.31	0	0	0	0	0	0	0	0	0	0	657.478	0	239.475	0	991.302	0	0	0	0	0	564.56	0	0	0	523.24	0	133.509	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_hongkongensis	0	0	0	0	0	769.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136.191	0	0	0	867.803	0	0	0	0	0	0	0	0	0	0	1479.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	726.451	693.221	0	0	0	305.385	0	471.147	0	0	0	1411.67	0	0	0	0	0	0	0	0	0	0	1026.5	0	1006.61	0	2271.65	0	0	0	0	0	1118.52	0	0	452.806	649.357	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_johnsonii	0	1706.69	0	0	1619.98	693.282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288.164	0	0	4412.45	0	1173	675.846	0	0	566.423	0	0	396.158	779.743	895.958	1033.25	545.128	0	0	382.309	1657.29	1065.21	455.444	0	1049.49	1507.24	0	178.709	0	0	0	588.003	743.066	0	230.782	0	290.653	116.679	0	1101.94	0	258.659	2465.54	470.591	0	5764.02	0	0	2735.97	0	2128.93	1004.88	0	0	3061.89	1853.09	6743.49	4740.83	562.412	632.348	735.041	0	493.707	0	2171.12	481.525	640.383	2130.41	1005.97	0	322.751	1347.65	0	0	1047.69
UNINTEGRATED|g__Actinomyces.s__Actinomyces_massiliensis	0	0	0	0	0	0	1244.42	0	0	0	0	0	0	0	0	0	0	0	0	0	3832.08	3130.44	0	0	7331.34	0	0	0	0	0	0	0	0	0	0	3237.49	11564.7	0	0	0	850.728	0	0	0	0	0	0	0	0	0	0	0	0	5479.21	0	2492.66	0	3617.46	1900.1	0	0	0	2143.67	0	2886.12	3600.31	0	0	1194.23	1431.66	0	0	2571.42	0	0	2307.34	1025.12	0	0	2722.3	2442.17	1125.09	0	12090.9	0	0	0	3285.85	9977.65	5526.65	0	0	2794.77	0	0	3644.74
UNINTEGRATED|g__Actinomyces.s__Actinomyces_meyeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.676	0	0	0	0	0	0	0	0	0	0	415.985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.8215	0	0	0	0	0	0	0	0	115.92	0	0	0	0	176.981	0	0	116.344	0	0	0	0	0	210.24	0
