Site	Library_ID	avg_gc_map	avg_rl_map	avg_gc_unmap	avg_rl_unmap	avg_gc_map_10M	avg_rl_map_10M	avg_gc_unmap_10M	avg_rl_unmap_10M	avg_gc_map_75bp	avg_rl_map_75bp	avg_gc_unmap_75bp	avg_rl_unmap_75bp
CMB	CMB001.A0101	57.3870826537153	63.2342538590318	55	68.2474358293181	57.3870826537153	63.2342538590318	55	68.2474358293181	57	51.369166581126	56	51.9676195737196
CMB	CMB002.A0101	55.8276016189329	65.5039359553472	53	67.9731877629451	55.8276016189329	65.5039359553472	53	67.9731877629451	56	52.1175612029381	53	52.1746936303517
CMB	CMB003.A0101	60.3707845690972	66.5175225351845	54	71.758914948728	60.3707845690972	66.5175225351845	54	71.758914948728	59	53.0146136616681	54	54.2728093761939
CMB	CMB004.A0101	57.7918591686712	66.6821414108953	52	72.2890166634736	57.7918591686712	66.6821414108953	52	72.2890166634736	57	53.3988583076307	52	54.7083954467871
CMB	CMB005.A0101	58.8392614834362	69.3936484558609	56	73.3873773691177	58.8392614834362	69.3936484558609	56	73.3873773691177	57	54.5576343798955	57	55.0075382602108
CMB	CMB006.A0101	55.8934094577003	66.6380291668486	52	70.7726699877798	55.8934094577003	66.6380291668486	52	70.7726699877798	55	53.3808142234682	53	53.903071808406
CMB	CMB007.A0101	60.314037173318	67.3116059779178	54	72.5146045185563	60.314037173318	67.3116059779178	54	72.5146045185563	58	54.0502760523241	55	55.2170724331205
CMB	CMB008.A0101	64.6941463161229	67.3202954148249	50	70.3437561000551	64.6941463161229	67.3202954148249	50	70.3437561000551	63	53.2975317929037	51	54.0029265425186
Radcliffe	CS01	49.66781686354	80.7373412720783	47	80.7813360882394	49.66781686354	80.7373412720783	47	80.7813360882394	51	52.0115788781317	48	50.5855412980322
Radcliffe	CS02	46.6480556442201	87.2724080554868	44	82.8085183278061	41	85.2277778676569	44	82.8134756604913	42	53.822884297112	45	51.557978053157
Radcliffe	CS03	47.8807968007333	88.1758069837424	41	85.4605641094316	40	83.9658025570662	41	85.4253911879468	43	52.2534432098635	41	51.50159344374
Radcliffe	CS04	48.9134720220946	99.6995619830017	50	95.6076892168826	50	89.3179000037221	50	95.6076892168826	51	54.8844031389364	51	54.5966181103873
Radcliffe	CS07	50.678213278068	81.0289451588914	49	84.5702456612213	50.678213278068	81.0289451588914	49	84.5702456612213	53	52.80390251915	51	51.6272885717609
Radcliffe	CS08	51.3907136451361	73.9114967752162	50	80.401770408608	51.3907136451361	73.9114967752162	50	80.401770408608	52	51.1740284350045	52	50.3606925169038
Radcliffe	CS09	49.9285165346356	87.2863435212604	44	81.2994475574388	48	81.4628840471039	44	81.3403438587481	50	52.902450548918	45	51.6259484640166
Radcliffe	CS10	48.7602103162732	90.0554668393702	46	91.6694557184524	47	89.5302322864921	46	91.8504907030729	49	54.3286494454374	47	51.5557495785865
Radcliffe	CS11	51.0615706880691	94.8163817437704	48	88.8986370437984	50	85.9803090114091	48	88.9371637604937	51	55.1026044481621	48	54.8935315265292
Radcliffe	CS12	46.5572909100471	93.0225087443613	42	81.6278719730557	46.5572909100471	93.0225087443613	42	81.6278719730557	45	49.2182000869878	44	47.4784338239766
Radcliffe	CS13	49.1788289598727	83.5673182347557	46	82.8768448415151	48	78.9512183940287	46	82.9348318062092	48	55.1363316150453	47	54.2869962608345
Radcliffe	CS14	50.766919685587	74.3119650872005	44	67.1619480554452	50.766919685587	74.3119650872005	44	67.1619480554452	49	48.1213550786941	45	46.7009291316329
Radcliffe	CS15	50.3439070772475	91.1720375460267	48	85.5601079021857	50	82.1284370238657	48	85.6138183661379	51	56.0151010549185	48	55.5810660748435
Radcliffe	CS16	49.3902945600549	98.1811489668957	47	101.831055402938	49	94.4040499600138	47	101.840313395409	50	57.0907631364465	49	56.2325919288414
Radcliffe	CS17	50.948392303092	102.334373100418	48	101.134919212538	49	93.4523425644396	48	101.148931153971	52	58.09309061908	49	58.0363947113202
Radcliffe	CS18	44.6017971846312	83.0073196927292	39	78.6986862301779	44.6017971846312	83.0073196927292	39	78.6986862301779	42	49.4692418813573	40	47.5764552535041
Radcliffe	CS19	48.4331914346158	94.6155748958652	46	100.140124468821	48.4331914346158	94.6155748958652	46	100.140124468821	48	57.5581669807376	48	56.9384185228008
Radcliffe	CS20	46.5737659331202	101.570143992614	44	87.257800541583	39	84.9727148473583	44	87.3092638391682	41	55.9891813271889	45	55.537797560901
Radcliffe	CS21	52.8102013993265	100.270626536366	47	96.1344543018863	51	80.7216346801425	47	96.1558313073108	54	56.2264773616546	48	56.2958741474169
Radcliffe	CS22	50.4626666787862	92.5080346027913	44	95.9830656049309	46	92.1646600662322	44	95.9923412770648	48	57.0367713513866	45	56.6879678018901
Radcliffe	CS23	48.3581981715014	64.8082896359957	45	61.639303232777	47	60.7676367577505	45	61.919924174539	48	42.6100524360719	46	40.7077212074364
Radcliffe	CS24	49.2303389804945	71.1748167629039	43	59.7416179084798	49.2303389804945	71.1748167629039	43	59.7416179084798	48	45.4884759455082	43	43.6663157949589
Radcliffe	CS26	51.755568662856	94.3876149174917	48	86.5202448742532	51.755568662856	94.3876149174917	48	86.5202448742532	53	55.2190625381698	49	55.2293534500586
Radcliffe	CS27	49.760981822286	85.9261044356415	49	75.8277510175124	49.760981822286	85.9261044356415	49	75.8277510175124	49	56.0197356620779	49	55.8674682044186
Radcliffe	CS28	46.8374926406521	97.243967444366	42	75.8399332711487	42	74.5878177483538	42	75.8531570828125	43	54.6051982830357	42	54.5588172209334
Radcliffe	CS29	45.8383450004307	111.66714094824	39	115.876538167888	41	111.080544035713	39	115.621892033122	43	51.2035465764488	42	48.9575841749927
Radcliffe	CS30	53.2955808183642	80.4715709276845	53	72.6362240943683	53.2955808183642	80.4715709276845	53	72.6362240943683	55	53.5386785188551	53	53.1412854019199
Radcliffe	CS31	44.7126714196985	87.8159727329576	42	88.3397090053994	39	86.7198840133771	42	88.1489117433612	42	49.5159873418327	43	47.8920773079415
Radcliffe	CS32	47.1191363906844	86.5134946169408	41	90.8787650158841	44	82.9516390834471	41	90.5898856697587	46	49.272455993338	43	48.7195031648214
Radcliffe	CS33	52.5525189066211	71.3872032788631	48	76.2598857790789	51	68.3942231376018	48	76.2646065225083	52	51.9445514904399	48	51.5322251230447
Radcliffe	CS34	53.0079248670232	74.7415740467037	48	75.1081360833729	53.0079248670232	74.7415740467037	48	75.1081360833729	51	54.9900129174485	49	54.1805327765052
Radcliffe	CS35	51.1002500491406	77.7480028450365	45	95.3320124204037	48	76.9979295822991	45	95.345481988606	50	53.1370414713449	46	53.5991768753373
Radcliffe	CS36	50.98531649487	67.7795330726978	46	68.62940998913	50.98531649487	67.7795330726978	46	68.62940998913	48	52.27458421934	46	51.8907210295902
Radcliffe	CS37	43.5713596906652	96.5399077935837	40	89.5658932822375	37	92.5128184687534	40	89.3109560848419	40	50.6934658248898	41	49.8993477466326
Radcliffe	CS38	50.8198406851439	80.6139113174752	45	89.4711054980163	48	80.3455883625993	45	89.4517792055539	50	53.9921701587921	46	54.2141208366174
Radcliffe	CS39	44.8653276564811	87.2315999567498	42	80.8021902421903	44.8653276564811	87.2315999567498	42	80.8021902421903	42	52.8538696166937	43	51.7939309427443
Radcliffe	CS40	50.9048357114092	64.9893210642421	48	66.4610751303664	50.9048357114092	64.9893210642421	48	66.4610751303664	49	52.775477993867	49	52.5614396220146
Radcliffe	CS42	48.0747771220873	73.0127316616124	43	73.7025780278272	48.0747771220873	73.0127316616124	43	73.7025780278272	45	48.6791172836892	45	47.3158767363354
Radcliffe	CS43	46.3251634262107	74.9896394219278	43	79.8305741176175	46.3251634262107	74.9896394219278	43	79.8305741176175	41	53.4843810307102	44	53.2338284933262
Radcliffe	CS44	47.4581614920197	80.8031936123481	49	94.583320230846	47.4581614920197	80.8031936123481	49	94.583320230846	50	53.5848270832534	50	47.7736941921446
Radcliffe	CS45	51.2938541189928	73.7460881173377	47	83.0855154911213	51.2938541189928	73.7460881173377	47	83.0855154911213	51	54.353000404355	49	53.3586469941071
Radcliffe	CS46	47.9787846867542	88.3748889838149	44	93.8617641984736	47	87.3347581014622	44	93.8617641984736	48	51.5577784386186	45	48.9665828069369
Radcliffe	CS47	50.8607401349339	81.2714041874358	46	94.6524516942741	48	80.4039040113401	46	94.6429219964863	51	57.0400550182349	47	57.2037732406691
Radcliffe	CS48	49.5566649897423	81.2011531948621	45	90.6278430350652	49.5566649897423	81.2011531948621	45	90.6278430350652	50	57.7437298255717	46	58.0476630243215
Kilteasheen	KT01calc	51.5085629766169	67.9976407236731	49	67.099317780794	51	67.6787447217788	49	67.0998200017278	52	61.225890428755	50	60.3940459413674
Kilteasheen	KT02calc	63.4519755324905	62.1798527542215	57	62.1859463520231	63.4519755324905	62.1798527542215	57	62.1859463520231	61	56.0186183650225	57	55.1627245044919
Kilteasheen	KT03calc	62.1686384899	66.0942144246153	56	66.1430343898639	62.1686384899	66.0942144246153	56	66.1430343898639	60	59.4441553188214	56	58.9354465277569
Kilteasheen	KT04calc	54.8571885594293	64.9833430529431	54	63.1191776063266	54.8571885594293	64.9833430529431	54	63.1191776063266	56	57.1690744310574	55	56.2024146322814
Kilteasheen	KT05calc	63.5724053360994	57.7915848017109	58	57.7235194661262	63.5724053360994	57.7915848017109	58	57.7235194661262	62	51.9785471910944	58	51.5739088879939
Kilteasheen	KT06calc	57.6080697612549	64.2531106248963	53	65.5161124317561	57.6080697612549	64.2531106248963	53	65.5161124317561	54	58.090882917623	54	58.0368914349271
Kilteasheen	KT07calc	58.6426519968266	64.4719854585894	54	64.2952610069473	58.6426519968266	64.4719854585894	54	64.2952610069473	57	57.9751760777226	54	57.3378273163635
Kilteasheen	KT08calc	51.7769907572839	67.9873004699342	53	65.0495129840597	51.7769907572839	67.9873004699342	53	65.0495129840597	53	59.9854714178785	53	57.6227334483338
Kilteasheen	KT09calc	60.775990236358	63.897503881812	51	64.5794080472077	60.775990236358	63.897503881812	51	64.5794080472077	58	57.6329902291087	52	57.3897381845431
Kilteasheen	KT10calc	60.2468809911299	61.8309120536874	54	61.4696298622723	60.2468809911299	61.8309120536874	54	61.4696298622723	57	55.5440987967068	55	54.7670720477846
Kilteasheen	KT11calc	61.795720808395	58.7602669564676	55	58.7092547661951	61.795720808395	58.7602669564676	55	58.7092547661951	60	53.2761808845544	56	52.7577966113548
Kilteasheen	KT12calc	62.4749086305632	60.7892606222043	54	60.7052798233853	62.4749086305632	60.7892606222043	54	60.7052798233853	60	54.6074608299216	55	54.1618433890011
Kilteasheen	KT13calc	62.4003800971227	63.463915170796	55	63.9831471776621	62.4003800971227	63.463915170796	55	63.9831471776621	60	56.7871415902294	55	56.4705572344122
Kilteasheen	KT14calc	61.0600756307726	61.4025831178247	53	59.7905607683081	61.0600756307726	61.4025831178247	53	59.7905607683081	60	54.8840834840441	54	53.5883258696381
Kilteasheen	KT15calc	56.1941905513255	61.9813175608356	52	62.3100339168572	56.1941905513255	61.9813175608356	52	62.3100339168572	55	55.9525667358584	53	55.6486000030702
Kilteasheen	KT16calc	56.4728190114037	59.3563831867154	54	58.6261156072066	56.4728190114037	59.3563831867154	54	58.6261156072066	56	53.7674083759081	54	52.7543354167419
Kilteasheen	KT17calc	61.9315420911016	63.6025994716354	54	62.9546537780397	61.9315420911016	63.6025994716354	54	62.9546537780397	59	56.9736157515836	54	56.059235523003
Kilteasheen	KT18calc	58.5771883594807	63.5519144189905	51	64.1641947507263	58.5771883594807	63.5519144189905	51	64.1641947507263	56	57.1696031921594	52	57.1089083627098
Kilteasheen	KT19calc	54.7534551996833	65.5660066591106	51	64.2178500679426	54.7534551996833	65.5660066591106	51	64.2178500679426	55	58.3433134819231	51	56.9452671991527
Kilteasheen	KT20calc	58.8860624642535	63.610680330185	54	63.64225336416	58.8860624642535	63.610680330185	54	63.64225336416	57	57.0994038004135	54	56.4199337335264
Kilteasheen	KT21calc	59.9730633046045	61.8400352105263	55	61.4981465880371	59.9730633046045	61.8400352105263	55	61.4981465880371	58	56.0163961697136	55	54.8462704330754
Kilteasheen	KT22calc	55.4838157080567	62.0607179549694	54	61.0262933442639	55.4838157080567	62.0607179549694	54	61.0262933442639	57	55.4621330969262	54	54.3118941040222
Kilteasheen	KT23calc	60.0736657540283	63.6441312260945	55	61.7753740756645	60.0736657540283	63.6441312260945	55	61.7753740756645	59	56.0986625909509	55	54.6696602753538
Kilteasheen	KT24calc	57.4982669408083	63.2119964191128	51	63.4506691160043	57.4982669408083	63.2119964191128	51	63.4506691160043	55	56.6452276435386	51	56.4165773406783
Kilteasheen	KT25calc	56.7062315661668	68.6699994527589	49	69.2515469703661	56.7062315661668	68.6699994527589	49	69.2515469703661	55	62.7575287432796	49	62.9503807942044
Kilteasheen	KT26calc	52.3296064134243	66.0197098167541	51	65.2515288020092	52.3296064134243	66.0197098167541	51	65.2515288020092	53	58.8973141461828	51	58.1607430731816
Kilteasheen	KT27calc	56.0449428965283	67.4176383715482	52	67.263928120266	56.0449428965283	67.4176383715482	52	67.263928120266	56	60.9084924167925	52	60.411489926364
Kilteasheen	KT28calc	60.0238891802992	64.8174281636125	50	65.40581311456	60.0238891802992	64.8174281636125	50	65.40581311456	57	58.5661020987879	51	58.4062479883069
Kilteasheen	KT29calc	57.1333115637615	67.8355703578093	52	67.4488940106092	57.1333115637615	67.8355703578093	52	67.4488940106092	57	60.7974253954283	53	60.1231635696559
Kilteasheen	KT30calc	59.249039669741	64.7001740832677	54	65.1630897154764	59.249039669741	64.7001740832677	54	65.1630897154764	58	58.363598954525	55	58.1309912576516
Kilteasheen	KT31calc	53.4945771572209	67.4056016954801	52	67.5789606675674	53.4945771572209	67.4056016954801	52	67.5789606675674	54	60.3983613887976	52	60.2137300481205
Kilteasheen	KT32calc	55.4273916008302	65.0869289665153	53	65.4457845976918	55.4273916008302	65.0869289665153	53	65.4457845976918	56	58.3938982080481	53	58.1080512688784
Kilteasheen	KT33calc	58.7890036209392	66.2040368964028	52	66.1682368804238	58.7890036209392	66.2040368964028	52	66.1682368804238	58	59.4374400045484	52	59.0656252468914
Kilteasheen	KT34calc	60.4039765482791	64.3858505137169	56	64.2981788906234	60.4039765482791	64.3858505137169	56	64.2981788906234	58	58.4907271552804	57	57.1187694594933
Kilteasheen	KT35calc	59.4005533135817	65.6652731347582	54	66.2562711520933	59.4005533135817	65.6652731347582	54	66.2562711520933	57	59.0405419965121	54	58.903070269206
Kilteasheen	KT36calc	56.2881603616265	64.4686358220002	53	65.3640815264372	56.2881603616265	64.4686358220002	53	65.3640815264372	55	57.9911981017269	53	58.0278981681734
Middenbeemster	MID022.A0101	53.8139428209877	64.6344656676104	52	67.4898477536568	51	65.8633242795165	52	67.5101523287417	51	52.1079531297465	51	51.9489293153932
Middenbeemster	MID023.A0101	49.1822010869743	69.1968237500038	48	74.9038132754275	49.1822010869743	69.1968237500038	48	74.9038132754275	48	53.8474532207587	48	54.53748520764
Middenbeemster	MID024.A0101	50.715473399184	65.3279118219702	49	71.1421034524232	50.715473399184	65.3279118219702	49	71.1421034524232	50	53.2420724620082	48	54.0956310074873
Middenbeemster	MID025.A0101	47.3200659077677	66.6028837664273	48	71.4431328797656	47.3200659077677	66.6028837664273	48	71.4431328797656	46	54.6477742281416	47	53.9940157318327
Middenbeemster	MID026.A0101	51.9173908619343	71.454543357781	52	75.1831663692609	51.9173908619343	71.454543357781	52	75.1831663692609	52	55.4070119334657	51	55.3591822166342
Middenbeemster	MID027.A0101	50.9290096726373	67.7266021308542	48	73.5909579553918	50.9290096726373	67.7266021308542	48	73.5909579553918	49	53.2432896005887	47	53.4102719448365
Middenbeemster	MID028.A0101	48.4604344152213	67.5633285868197	48	74.5565921606973	48.4604344152213	67.5633285868197	48	74.5565921606973	47	53.8834576101443	47	55.1052287980063
Middenbeemster	MID029.A0101	47.9109006292383	70.089306560281	46	76.0056904471133	47.9109006292383	70.089306560281	46	76.0056904471133	46	55.8015278590201	46	56.9992707037075
Middenbeemster	MID030.A0101	49.7835504923869	70.4960876486193	46	72.8515394912564	48	71.7500436254682	46	72.8519958768086	48	55.8980923757384	45	54.8897148577185
Middenbeemster	MID031.A0101	48.0744831220281	67.9148449281451	49	73.7638442913322	48.0744831220281	67.9148449281451	49	73.7638442913322	46	55.3824464788009	48	55.6502461368637
Middenbeemster	MID032.A0101	47.4975172944502	66.3513134788872	47	72.1832366649449	44	68.666657102116	47	72.1928719970436	44	51.161302825126	46	54.2988033247505
Middenbeemster	MID033.A0101	48.6352482499651	66.4249656572287	46	72.2433645179676	48.6352482499651	66.4249656572287	46	72.2433645179676	45	53.5820016733073	45	54.3287696224156
Middenbeemster	MID034.A0101	42.5046093388557	67.5145699922116	45	68.2225590654964	36	69.5536411995275	45	68.2411315890098	36	54.6974015183257	45	52.7340267006618
Middenbeemster	MID035.A0101	50.3261436562887	66.4897507905892	47	68.0689822617468	50.3261436562887	66.4897507905892	47	68.0689822617468	50	52.6316815078639	47	52.4036387744471
Middenbeemster	MID036.A0101	48.5780351706143	67.0465863937225	48	70.5628825516159	48.5780351706143	67.0465863937225	48	70.5628825516159	48	52.1568181104788	47	52.6419834213685
Middenbeemster	MID037.A0101	49.7628942837528	69.8328050855688	48	74.0189454175816	49	70.0466761362369	48	74.0280984028725	49	55.0231568119414	47	55.2949562796171
Middenbeemster	MID038.A0101	49.1012000509679	63.0480934038509	49	68.8920377607992	49.1012000509679	63.0480934038509	49	68.8920377607992	49	51.2307516908779	49	51.8597068759465
Middenbeemster	MID039.A0101	48.5219054328065	67.750335808783	46	70.4734575232502	48.5219054328065	67.750335808783	46	70.4734575232502	49	53.9107510993461	46	53.9725159427167
Middenbeemster	MID040.A0101	48.8460053082331	66.1453298279248	47	67.189491614749	48.8460053082331	66.1453298279248	47	67.189491614749	47	53.0931370588462	46	52.931771310979
Middenbeemster	MID041.A0101	48.1735790235846	64.8734301546435	45	69.064427021634	48.1735790235846	64.8734301546435	45	69.064427021634	46	52.6020353545535	45	53.0625886617423
Middenbeemster	MID042.A0101	50.0059432711567	66.752615607797	46	67.9884211653026	50.0059432711567	66.752615607797	46	67.9884211653026	49	53.4452659413593	46	53.4186554670616
Middenbeemster	MID043.A0101	48.7741613353262	67.0419001165809	46	71.3746111210442	48.7741613353262	67.0419001165809	46	71.3746111210442	47	53.2802694271286	46	54.5805402073599
Middenbeemster	MID044.A0101	48.9058190982499	67.165791022449	47	71.0771705262975	48.9058190982499	67.165791022449	47	71.0771705262975	49	53.944164875535	47	54.4890520346219
Middenbeemster	MID045.A0101	48.81105399668	63.9395288860398	46	64.8605357714359	46	64.0621268369088	46	64.8635502624734	46	52.0434073445082	46	51.3553563880563
