# Constructed from biom file
#OTU ID	MID067.A0101	EXB059.A2501	MID089.A0101	MID101.A0101	LIB058.A0103	MID077.A0101	MID088.A0101	MID027.A0101	MID066.A0101	MID094.A0101	MID083.A0101	MID072.A0101	MID022.A0101	CMB004.A0101	MID061.A0101	MID050.A0101	MID044.A0101	MID049.A0101	MID038.A0101	MID055.A0101	MID071.A0101	MID093.A0101	MID032.A0101	CMB002.A0101	MID029.A0101	MID024.A0101	MID102.A0101	MID085.A0101	MID041.A0101	MID046.A0101	MID063.A0101	EXB059.A2201	MID080.A0101	MID084.A0101	CMB003.A0101	MID062.A0101	MID023.A0101	MID040.A0101	MID045.A0101	MID059.A0101	LIB058.A0104	MID037.A0101	CMB008.A0101	EXB034.A2701	MID028.A0101	MID054.A0101	MID068.B0101	MID075.A0101	MID086.A0101	MID097.A0101	MID042.A0101	MID053.A0101	MID064.A0101	MID031.A0101	MID058.A0101	MID047.A0101	MID036.A0101	CMB001.A0101	CMB006.A0101	CMB007.A0101	EXB059.A2301	MID070.A0101	LIB058.A0107	MID092.A0101	LIB058.A0105	MID081.A0101	MID079.A0101	MID082.A0101	MID043.A0101	CMB005.A0101	EXB059.A2101	EXB059.A2401	MID074.A0101	MID026.A0101	MID035.A0101	MID030.A0101	MID057.A0101	LIB058.A0102	MID090.A0101	MID073.A0101	MID048.A0101	MID034.A0101	MID051.A0101	MID091.A0101	MID039.A0101	MID060.A0101	LIB058.A0106	MID087.A0101	CS01	CS02	CS03	CS04	CS07	CS08	CS09	CS10	CS11	CS12	CS13	CS14	CS15	CS16	CS17	CS18	CS19	CS20	CS21	CS22	CS23	CS24	CS26	CS27	CS28	CS29	CS30	CS31	CS32	CS33	CS34	CS35	CS36	CS37	CS38	CS39	CS40	CS42	CS43	CS44	CS45	CS46	CS47	CS48	CSL	CSN	KT01calc	KT02calc	KT03calc	KT04calc	KT05calc	KT06calc	KT07calc	KT08calc	KT09calc	KT10calc	KT11calc	KT12calc	KT13calc	KT14calc	KT15calc	KT16calc	KT17calc	KT18calc	KT19calc	KT20calc	KT21calc	KT22calc	KT23calc	KT24calc	KT25calc	KT26calc	KT27calc	KT28calc	KT29calc	KT30calc	KT31calc	KT32calc	KT33calc	KT34calc	KT35calc	KT36calc	ELR003.A0101	ELR004.A0101	ELR006.A0101	ELR008.A0101	ELR010.A0101	IVE002.B0101	IVE003.A0101	IVE005.A0101	IVE005.B0101	IVE007.B0101	LIB007.A0125	LIB007.A0130	LIB007.A0131	EXB015.A3001	EXB015.A3301	EXB015.A3401	ERR1883430_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	JAE016.A0101	ERR1883436_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR062083	VLC001.A0101	JAE008.A0101	ERR1883419_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	ERR1883422_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	JAE013.A0101	SRR1631060	JAE010.A0101	SRR1631061	SRR1930121	SRR1761718	SRR513165	SRR1930123	SRR061562	SRR514306	VLC004.A0101	ARS015.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR1761682	SRR1761721	SRR059425	SRR1761688	SRR060358	ARS020.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	ERR1883418_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR514329	SRR1761677	VLC009.A0101	ERR1883423_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR1929408	SRR1761710	ERR1883421_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR1930145	SRR063517	ARS017.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR514202	VLC005.A0101	ARS005.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR3184100	SRR1804664	ERR1883420_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR1631063	SRR1804823	ARS004.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR061365	SRR061320	SRR3189411	ARS010.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR1633008	ARS011.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR1761705	ERR1883424_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR514239	SRR513828	SRR059455	SRR1930141	VLC002.A0101	SRR059917	SRR1631064	SRR3189416	SRR1761692	JAE012.A0101	JAE009.A0101	SRR059389	SRR3184876	SRR3189418	SRR512767	VLC010.A0101	SRR061294	ARS001.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	ERR1883438_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	VLC008.A0101	ARS012.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	JAE014.A0101	SRR1761697	SRR513775	VLC003.A0101	SRR513768	ARS013.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	JAE006.A0101	SRR062299	SRR062298	SRR1761698	JAE015.A0101	SRR061192	JAE007.A0101
[Clostridium] sporosphaeroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	877	0	552	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium] brachy	21704	1856	4890	8612	1186	10132	8976	5605	3262	15813	6416	8185	42949	10855	0	19308	24888	5619	35623	9057	1490	8765	15738	6805	5250	34485	7682	16709	14640	7094	20596	263	559	6758	18873	9125	1538	8152	6169	35785	514	9222	5947	221	4969	133418	0	11722	8923	21918	0	14192	17151	7073	19286	5782	5719	10846	5432	5466	465	14645	0	29596	0	5059	1483	25164	2811	1685	67	189	5335	6359	6433	21315	35078	64	1836	9740	2492	8290	28222	7971	12015	13371	1244	8241	8732	17739	16841	38270	8423	8932	14618	11379	19748	8572	1022	185	39337	7480	10948	2232	4742	8452	39012	2705	4024	4717	13885	1515	18127	0	8581	11460	116939	37392	5069	212798	33945	16763	55765	17068	15430	3344	21496	1233	1185	0	112342	1859	0	0	1469	907	4539	2916	272	4398	9039	0	1226	1693	4417	760	1710	0	4800	1391	1045	4137	3653	14158	6053	3501	1541	4116	1168	512	848	3638	1588	1773	3759	2152	2144	12839	2388	4273	5578	1657	9261	5247	0	9335	2413	1741	4625	20117	0	0	0	0	0	0	0	100440	0	0	0	57787	0	0	0	1902	12384	1996	0	0	30071	0	0	36867	0	0	0	0	0	0	0	0	0	3711	0	0	0	0	0	0	0	0	0	0	31253	0	0	3008	0	2189	0	0	0	4883	0	0	0	0	0	0	13147	0	0	0	0	0	2224	0	0	9395	41700	0	0	0	0	0	1421	0	0	12274	0	5437	0	8823	0	32626	0	0	21779	69961	0	13054	13031	0
[Eubacterium] infirmum	2868	237	2750	1304	111	1593	7383	0	1561	1555	2051	4237	2403	3932	0	4102	997	2162	741	3353	657	5149	4581	2637	1452	2834	2334	2782	5065	5818	5008	69	0	3672	2863	2421	0	4422	2462	6928	0	2084	3168	0	1455	3974	1130	2047	1045	3824	0	4884	3804	1885	5521	1816	0	1407	1370	2501	163	3444	0	8018	0	2120	871	5270	1058	622	27	51	789	0	1358	5122	4305	0	0	2866	2067	5688	3438	5010	1762	2869	708	2183	803	7182	4891	1439	1423	0	6405	1586	6446	2546	0	105	2646	0	6626	0	566	9593	3685	3241	0	1185	1576	202	9891	0	300	9724	21018	2270	959	11199	2009	11701	11790	5506	1163	1435	5574	8376	588	551	14744	225	0	0	3552	599	1141	898	0	1731	647	0	999	906	1441	575	839	719	1473	337	888	4198	889	1078	1702	803	1604	4673	1444	808	616	1932	1273	901	1777	1500	694	5321	668	1285	5538	447	4404	3421	0	802	754	0	0	1588	0	0	0	0	0	0	0	69558	0	0	15462	32241	0	0	5689	0	0	0	0	0	0	0	0	0	22046	0	0	0	0	0	0	0	0	4467	0	11574	0	0	0	0	0	0	0	0	6900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1644	0	0	0	1426	0	0	0	0	5723	0	0	0	0	0	6956	0	0	0	11062	0	34159	0	0	0	0	0	0	4605	13936	0	35277	0	0
[Eubacterium] minutum	191512	8204	133358	61889	5995	88669	254461	33149	53639	87013	36690	203940	581933	115753	6412	243919	142987	68517	121804	318550	47240	166971	176913	50276	43456	159784	38426	150304	247705	154217	192891	4014	13672	284395	107378	55424	12591	256057	113409	610847	2147	68636	91659	3595	58880	74318	10212	51497	131520	296787	9003	351571	354767	71834	231188	128874	8207	141679	487999	364071	9066	299265	71	78986	101	130225	3070	50471	12451	115364	1195	2992	78444	29178	45121	61772	111297	220	20367	111793	19754	45481	443565	61830	28766	158798	9775	81031	182206	89069	139576	54441	110547	30373	115455	38272	406981	111453	11547	3189	681524	17721	246369	3463	31980	502295	540181	77505	60362	53601	65323	1429	89213	4960	12309	190525	451357	35481	30006	118455	114931	333142	509983	157988	288807	45784	110627	6461	8257	21800	621796	13889	0	372	44600	90847	68893	86356	31989	195605	73143	3974	30023	89216	55885	51748	91272	6557	199296	57557	59749	115249	44849	168094	112637	27106	67821	188379	60883	39271	67091	39802	49551	98015	102978	61725	100769	144084	102243	104460	103421	53361	642776	304188	3588	96723	69235	38402	23696	295390	0	0	0	0	396	137	0	836671	0	0	127283	51928	0	0	4544	0	99061	0	0	0	0	0	0	0	21447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48600	0	0	0	0	8220	341421	0	0	0	0	0	0	0	0	79952	0	524109	0	0	0	0	0	0	0	0	0	1108419	0	0
[Eubacterium] saphenum	133846	6155	72481	15127	3521	39913	73604	12216	13702	45002	17112	186717	173873	23043	1337	105213	67303	24579	43612	46260	7120	105607	41928	9400	13534	66679	46968	48553	77032	22670	59697	1637	4933	332232	26818	35286	6618	87490	25472	118402	1796	44923	12384	442	21740	278354	504	21366	28734	72836	575	106995	111099	64815	89487	71579	3447	40030	70753	29825	2885	68852	0	157673	38	20354	8534	43112	14024	4908	526	1814	3953	16075	51146	98861	112347	244	8671	33163	6408	12304	106068	26177	33917	134908	3934	18152	82315	56132	21358	70423	40368	21986	46797	24037	284078	26307	0	820	16885	7537	34683	4947	15280	157616	143816	3672	34968	6670	41321	7485	35810	1846	19292	94287	744879	30330	23285	199924	91618	113033	87112	102258	48745	10645	11993	1805	2454	0	517879	9404	0	0	6610	1741	35794	13339	4760	28470	22017	1276	4661	13630	6113	7447	2362	0	47888	5446	8152	18710	2819	28577	15006	4772	11185	10244	6545	3206	1999	13295	6732	8552	14437	14754	9050	20430	17032	24583	4343	3438	186824	115591	0	33738	7663	4388	6573	91065	0	0	0	0	98	0	0	0	0	0	76607	30715	0	0	0	0	6220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9498	0	0	0	0	0	0	0	0	31710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3885	0	0	0	0	0	256279	0	0	0	0	0	0	0	0	9122	0	139058	0	0	0	0	0	0	0	0	0	612097	0	0
[Eubacterium] sulci	594	0	584	1364	0	856	1224	0	0	1338	674	1047	848	732	0	1058	0	740	0	0	0	3650	681	1141	0	676	0	0	826	683	780	0	0	981	606	1102	0	734	2360	1438	0	752	1143	0	345	2947	2133	651	253	838	0	2133	934	1816	1564	1958	0	490	0	449	0	892	0	1448	0	0	1447	2730	0	0	0	0	0	0	0	1246	1682	0	0	1162	0	1417	1344	1119	436	1300	162	0	0	1109	1210	0	0	0	1225	0	2555	528	0	0	875	0	701	0	0	0	1017	1336	0	0	313	49	1919	0	0	1862	3590	0	0	1542	0	1505	1620	769	332	0	1029	1673	0	0	1860	52	0	0	1301	0	0	0	0	0	408	0	0	0	255	0	0	496	358	0	0	728	648	0	821	0	0	575	252	332	0	221	581	0	0	0	0	3104	0	209	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3227	0	0	0	0	0	0	0	0	0	2446	0	0	0	0	0	0	0	0	0	0	0	0	2188	0	0	0	0	0	1996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium] yurii	4787	3258	17652	34026	1541	17208	16797	6055	14973	40683	17196	1876	13445	324	13167	21982	22752	42417	20830	7299	36562	4560	11444	4640	13318	6084	9454	16587	14374	1546	975	230	13104	2962	369	19400	10947	5019	25731	7050	119	18531	323	0	2902	6980	23191	332	2757	2300	41442	557	2535	5182	1078	11674	37807	0	3110	466	271	13866	58	1073	0	9519	41599	4881	21254	3668	189	104	4142	24346	10468	2465	7848	0	3601	5780	15855	1436	1368	18208	25019	8017	2510	16311	5094	989	1133	8385	9475	12329	5679	113659	2051	10220	66082	702	11429	11704	2251	6724	13873	2542	1714	53040	57661	6462	989	89	959	70828	4938	85270	8163	5839	15169	2903	403	7448	5431	2746	298	13693	1359	11591	5292	34466	14745	230	0	0	40674	866	980	7923	3404	276	5239	3490	0	748	1809	905	1357	1914	2841	4492	937	1444	11417	1919	898	5942	6436	5636	9131	8873	6543	0	15897	1948	11758	11686	10492	2550	1504	407	3718	11639	2645	2298	0	16468	9496	7224	5604	3631	0	0	0	0	0	3	0	0	0	17335	0	53185	0	0	8849	0	8253	0	0	0	0	0	5124	6559	13653	0	0	0	0	0	0	0	0	0	0	33786	0	0	0	0	0	0	0	0	68079	0	0	0	0	0	0	0	0	5994	0	0	0	0	0	0	25598	0	0	0	5870	0	0	0	0	5327	18826	0	0	0	0	8006	1730	0	0	7757	0	49197	0	2335	0	7024	0	11773	2805	1761	0	13918	4368	39168
[Hallella] seregens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10971	0	0	5680	0	0	0	0	0	0	0	4647	0	0	20355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2501	0	2158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3064	0	0	0	0	5722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3851	0	0	0	3319	0	0	0	0	611	4549	0	5047	0	0
Abiotrophia defectiva	2033	2722	4355	14285	893	17214	0	22980	2915	26454	12144	0	0	0	40819	6099	4648	17508	11899	0	34653	0	2660	10143	17322	0	6981	5043	2710	0	0	538	18317	1229	0	5561	62133	0	7933	0	162	23029	0	0	8571	2561	11767	0	1418	0	17246	0	0	709	0	5943	30097	0	1072	0	338	8116	0	0	0	2486	160102	2202	11284	0	204	270	242	6053	2798	0	9255	0	21696	9913	5098	0	0	3795	18907	2877	551	14783	2198	0	0	0	7926	26488	0	39140	0	3926	66895	303	3030	55979	2057	24725	22000	0	1836	5940	37923	5526	0	0	0	105243	2141	23466	5018	1669	29997	0	0	865	0	495	0	18943	0	8013	25504	3940	5524	104	0	0	22468	513	0	7743	0	0	1360	42045	0	393	639	0	0	1244	0	3261	0	0	12717	0	0	4942	6538	1298	0	3262	555	0	1712	234	21921	12130	0	0	0	0	345	4691	850	1946	0	29745	5170	3307	51142	2864	0	0	0	0	0	0	0	0	0	14999	66140	120577	0	0	594640	0	107807	0	0	0	21767	0	58263	0	40280	0	0	0	0	0	0	0	0	130259	0	25150	0	0	0	0	0	14464	0	0	89339	0	7603	0	0	0	110390	0	10060	21189	2679	0	0	0	0	0	2209	0	0	0	13162	0	0	2449	0	735549	83752	0	0	2179	0	3212	0	0	0	24527	0	48993	0	0	84069	0	0	23994	550	3152	0	4957	162803	20569
Abiotrophia sp. HMSC24B09	4219	6527	12080	22557	2474	43746	0	14751	7473	69829	30548	0	1233	0	108194	17682	12396	34759	23311	0	92909	1078	6108	25667	48912	0	17216	8188	6740	0	0	1077	31820	1762	0	3596	163425	480	20409	0	213	35157	0	0	13142	3392	24087	0	3459	0	23209	0	0	1604	0	8294	80506	0	2622	0	561	21822	0	0	0	6485	193667	3166	28139	0	369	517	540	15355	5234	0	13085	0	46838	15131	13568	0	0	10715	48814	5810	1535	32257	2666	0	0	680	21555	72846	1692	97234	0	4924	155223	614	7520	143400	3159	70889	46490	1300	3857	8165	105401	7206	206	0	847	238055	5738	33862	11673	4564	49141	0	0	1720	0	1520	0	41257	487	21022	45591	10758	8510	161	0	0	42276	1133	0	18219	0	0	2797	59078	0	770	1119	0	0	1821	0	7423	0	0	16522	441	0	9095	13207	2031	260	7421	1041	0	4030	488	31159	17725	404	0	0	0	815	12663	2031	2329	0	47819	13517	6869	80237	7403	0	0	0	0	0	0	0	0	0	34572	42402	138665	0	0	818565	0	62947	0	0	0	29291	0	31244	0	97649	0	0	0	0	0	0	0	0	190874	0	14216	0	0	0	0	0	25880	0	0	185608	0	10690	0	0	0	59727	0	7477	32428	3405	0	0	0	0	0	4740	0	0	0	15307	0	0	3076	0	1222962	88443	0	0	2864	0	3136	0	0	0	60524	0	81844	0	0	219285	0	0	63087	643	1576	0	5670	78467	54726
