#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Streptococcus sp. A12","Bacteria;Terrabacteria group;Firmicutes","A12","SAMN04287214","PRJNA302800","GCA_001587175.1","Complete",1.87434,42.2,"chromosome:NZ_CP013651.1/CP013651.1",,1,1725,"2016-03-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/587/175/GCA_001587175.1_ASM158717v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/587/175/GCF_001587175.1_ASM158717v1"
"Streptococcus sp. FDAARGOS_192","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_192","SAMN04875529","PRJNA231221","GCA_002073815.2","Complete",2.43549,39.6296,"chromosome:NZ_CP020431.2/CP020431.2; plasmid unnamed1:NZ_CP020429.2/CP020429.2; plasmid unnamed2:NZ_CP020430.1/CP020430.1",,3,2138,"2017-03-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/815/GCA_002073815.2_ASM207381v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/815/GCF_002073815.2_ASM207381v2"
"Streptococcus sp. HKU75","Bacteria;Terrabacteria group;Firmicutes","HKU75","SAMN16520759","PRJNA670809","GCA_018137985.1","Complete",2.19733,44.1,"chromosome:NZ_CP073084.1/CP073084.1",,1,2081,"2021-04-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/137/985/GCA_018137985.1_ASM1813798v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/137/985/GCF_018137985.1_ASM1813798v1"
"Streptococcus sp. 'group B'","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_229","SAMN04875566","PRJNA231221","GCA_002073795.2","Complete",2.17826,35.6,"chromosome:NZ_CP020432.1/CP020432.2",,1,2030,"2017-03-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/795/GCA_002073795.2_ASM207379v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/795/GCF_002073795.1_ASM207379v2"
"Streptococcus sp. oral taxon 431","Bacteria;Terrabacteria group;Firmicutes","F0610 (5-114)","SAMN04435859","PRJNA282954","GCA_001553685.1","Complete",2.1779,39.7,"chromosome:NZ_CP014264.1/CP014264.1",,1,1953,"2016-02-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/685/GCA_001553685.1_ASM155368v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/685/GCF_001553685.1_ASM155368v1"
"Streptococcus sp. FDAARGOS_521","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_521","SAMN10163215","PRJNA231221","GCA_003812465.1","Complete",2.157,35.6,"chromosome:NZ_CP033809.1/CP033809.1",,1,2037,"2018-11-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/465/GCA_003812465.1_ASM381246v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/465/GCF_003812465.1_ASM381246v1"
"Streptococcus sp. NCTC 11567","Bacteria;Terrabacteria group;Firmicutes","NCTC11567","SAMEA3597585","PRJEB6403","GCA_902141215.1","Complete",2.14772,39.4,"chromosome 1:NZ_LR595857.1/LR595857.1",,1,1957,"2019-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/141/215/GCA_902141215.1_42042_G01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/141/215/GCF_902141215.1_42042_G01"
"Streptococcus sp. LPB0220","Bacteria;Terrabacteria group;Firmicutes","LPB0220","SAMN12769544","PRJNA565653","GCA_008727815.1","Complete",2.13338,42.1,"chromosome:NZ_CP044230.1/CP044230.1",,1,1968,"2019-09-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/727/815/GCA_008727815.1_ASM872781v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/727/815/GCF_008727815.1_ASM872781v1"
"Streptococcus sp. DAT741","Bacteria;Terrabacteria group;Firmicutes","DAT741","SAMN06272698","PRJNA368750","GCA_009866825.1","Complete",2.10528,40.1,"chromosome:NZ_CP019557.1/CP019557.1",,1,1853,"2020-01-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/866/825/GCA_009866825.1_ASM986682v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/866/825/GCF_009866825.1_ASM986682v1"
"Streptococcus sp. FDAARGOS_522","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_522","SAMN10163216","PRJNA231221","GCA_003812445.1","Complete",2.10113,35.5,"chromosome:NZ_CP033808.1/CP033808.1",,1,1953,"2018-11-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/445/GCA_003812445.1_ASM381244v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/445/GCF_003812445.1_ASM381244v1"
"Streptococcus sp. FDAARGOS_520","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_520","SAMN10163214","PRJNA231221","GCA_003812685.1","Complete",2.09962,35.5,"chromosome:NZ_CP033810.1/CP033810.1",,1,1977,"2018-11-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/685/GCA_003812685.1_ASM381268v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/685/GCF_003812685.1_ASM381268v1"
"Streptococcus sp. zg-86","Bacteria;Terrabacteria group;Firmicutes","zg-86","SAMN18389315","PRJNA715958","GCA_017639855.1","Complete",2.09256,40.7,"chromosome:NZ_CP072115.1/CP072115.1",,1,1851,"2021-03-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/639/855/GCA_017639855.1_ASM1763985v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/639/855/GCF_017639855.1_ASM1763985v1"
